prompt_id,domain,evaluator_id,evaluator,candidate_id,layer_index,layer_position,distance_to_self_answer,cosine_to_self_answer,candidate_minus_self_norm,distance_to_self_rank_closest,distance_to_prompt_candidate_centroid,distance_to_centroid_outlier_rank,mean_distance_to_other_candidates,min_distance_to_other_candidate,max_distance_to_other_candidate,mean_cosine_to_other_candidates,min_cosine_to_other_candidate,max_cosine_to_other_candidate,mean_self_distance_advantage_vs_others,min_self_distance_advantage_vs_others,max_self_distance_advantage_vs_others,mean_self_cosine_advantage_vs_others,min_self_cosine_advantage_vs_others,max_self_cosine_advantage_vs_others,self_distance_change_from_previous_layer,voter_allocation,voter_allocation_centered,voter_allocation_z,voter_positive_mass,voter_negative_mass,voter_signed_abs_share,voter_allocation_rank,voter_help_label,voter_hurt_label,voter_signed_top_choice,voter_best_pick_vote,voter_borda_points,voter_borda_points_centered,voter_borda_points_z,mean_allocation,positive_mass,negative_mass,signed_abs_share,allocation_rank_within_prompt,help_label,hurt_label,signed_allocation_winner,judge_winner
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,normal_01,A,16,0,18.338930130004883,0.9214361906051636,18.338930130004883,3.0,7.105503082275391,3.0,12.541213353474935,11.107970237731934,14.067054748535156,0.9634788632392883,0.9549821019172668,0.9712916612625122,-0.8112910588582357,-3.624171257019043,1.3774356842041016,-0.003799299399058024,-0.02875363826751709,0.017549991607666016,,0.25,0.125,0.4934637712198267,0.25,-0.0,0.25,2.0,True,False,False,False,2.0,0.5,0.3872983346207417,0.25,0.25,-0.0,0.25,2.0,True,False,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,normal_01,B,16,0,18.151792526245117,0.9216304421424866,18.151792526245117,2.0,6.747318744659424,4.0,12.17005475362142,10.4243803024292,14.977813720703125,0.9646231333414713,0.9484163522720337,0.9741613864898682,-0.5617742538452148,-3.4370336532592773,1.5645732879638672,-0.003540297349294027,-0.028559386730194092,0.017744243144989014,,0.2,0.07500000000000001,0.2960782627318961,0.2,-0.0,0.2,3.0,True,False,False,False,1.0,-0.5,-0.3872983346207417,0.2,0.2,-0.0,0.2,3.0,True,False,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,normal_01,C,16,0,19.716365814208984,0.9038861989974976,19.716365814208984,4.0,8.325400352478027,2.0,13.280182520548502,10.4243803024292,16.967552185058594,0.9570575952529907,0.9328485727310181,0.9741613864898682,-2.647871971130371,-5.0016069412231445,-1.3774356842041016,-0.027199288209279377,-0.046303629875183105,-0.017549991607666016,,-0.25,-0.375,-1.4803913136594802,0.0,0.25,0.25,4.0,False,True,False,False,0.0,-1.5,-1.161895003862225,-0.25,0.0,0.25,0.25,4.0,False,True,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,normal_01,D,16,0,14.71475887298584,0.9501898288726807,14.71475887298584,1.0,10.438275337219238,1.0,15.337473551432291,14.067054748535156,16.967552185058594,0.9454156756401062,0.9328485727310181,0.9549821019172668,4.020937283833821,3.4370336532592773,5.0016069412231445,0.03453888495763143,0.028559386730194092,0.046303629875183105,,0.3,0.175,0.6908492797077573,0.3,-0.0,0.3,1.0,True,False,True,True,3.0,1.5,1.161895003862225,0.3,0.3,-0.0,0.3,1.0,True,False,True,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,normal_02,A,16,0,16.41862678527832,0.9372043609619141,16.41862678527832,2.0,6.695978164672852,4.0,12.749252319335938,11.583861351013184,14.77685546875,0.9619157910346985,0.9510248303413391,0.9680785536766052,0.4361489613850911,-2.5239830017089844,2.787721633911133,0.005518039067586263,-0.019619762897491455,0.026330530643463135,,0.45,0.325,1.0987005311470717,0.45,-0.0,0.45,1.0,True,False,True,False,1.5,0.0,0.0,0.45,0.45,-0.0,0.45,1.0,True,False,True,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,normal_02,B,16,0,13.894643783569336,0.9568241238594055,13.894643783569336,1.0,11.900436401367188,1.0,17.052684148152668,14.77685546875,18.83440399169922,0.9333030978838602,0.9188686013221741,0.9510248303413391,3.801459630330404,2.5239830017089844,5.311704635620117,0.0316777229309082,0.019619762897491455,0.04595029354095459,,0.3,0.175,0.5916079783099616,0.3,-0.0,0.3,2.0,True,False,False,True,3.0,1.5,1.2247448713915892,0.3,0.3,-0.0,0.3,2.0,True,False,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,normal_02,C,16,0,19.206348419189453,0.9108738303184509,19.206348419189453,4.0,8.412261009216309,2.0,13.599161783854166,10.076041221618652,18.83440399169922,0.9533051053682963,0.9188686013221741,0.9744027256965637,-3.280813217163086,-5.311704635620117,-1.7430133819580078,-0.029589335123697918,-0.04595029354095459,-0.016487181186676025,,-0.15,-0.275,-0.9296696802013683,0.0,0.15,0.15,4.0,False,True,False,False,0.0,-1.5,-1.2247448713915892,-0.15,0.0,0.15,0.15,4.0,False,True,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,normal_02,D,16,0,17.463335037231445,0.927361011505127,17.463335037231445,3.0,7.568088054656982,3.0,13.068898518880209,10.076041221618652,17.54679298400879,0.9574990471204122,0.9300158619880676,0.9744027256965637,-0.9567953745524088,-3.5686912536621094,1.7430133819580078,-0.00760642687479655,-0.029463112354278564,0.016487181186676025,,-0.1,-0.225,-0.760638829255665,0.0,0.1,0.1,3.0,False,True,False,False,1.5,0.0,0.0,-0.1,0.0,0.1,0.1,3.0,False,True,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,normal_03,A,16,0,20.16227912902832,0.9072750210762024,20.16227912902832,3.0,7.356469631195068,4.0,12.934446334838867,11.019641876220703,15.257476806640625,0.9606292049090067,0.9460182189941406,0.9720243811607361,-2.488264719645182,-7.68974494934082,0.7631855010986328,-0.016053537527720135,-0.05655938386917114,0.011533737182617188,,0.45,0.4,1.2649110640673518,0.45,-0.0,0.45,1.0,True,False,True,True,1.0,-0.5,-0.38729833462074176,0.45,0.45,-0.0,0.45,1.0,True,False,True,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,normal_03,B,16,0,19.62404441833496,0.9104099869728088,19.62404441833496,2.0,7.510408878326416,3.0,12.99580446879069,11.019641876220703,15.952774047851562,0.958830197652181,0.9393343925476074,0.9720243811607361,-1.7706184387207031,-7.151510238647461,1.3014202117919922,-0.01187358299891154,-0.0534244179725647,0.014668703079223633,,0.15,0.09999999999999999,0.3162277660168379,0.15,-0.0,0.15,2.0,True,False,False,False,0.0,-1.5,-1.1618950038622253,0.15,0.15,-0.0,0.15,2.0,True,False,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,normal_03,C,16,0,12.4725341796875,0.9638344049453735,12.4725341796875,1.0,10.738683700561523,1.0,15.866977055867514,15.257476806640625,16.39068031311035,0.9398309389750162,0.9341402053833008,0.9460182189941406,7.764728546142578,7.151510238647461,8.452930450439453,0.05935897429784139,0.0534244179725647,0.06809312105178833,,-0.25,-0.3,-0.9486832980505138,0.0,0.25,0.25,4.0,False,True,False,False,3.0,1.5,1.1618950038622253,-0.25,0.0,0.25,0.25,4.0,False,True,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,normal_03,D,16,0,20.925464630126953,0.8957412838935852,20.925464630126953,4.0,8.295511245727539,2.0,13.64396603902181,12.014997482299805,16.39068031311035,0.9543723464012146,0.9341402053833008,0.9651318192481995,-3.505845387776693,-8.452930450439453,-0.7631855010986328,-0.03143185377120972,-0.06809312105178833,-0.011533737182617188,,-0.15,-0.2,-0.6324555320336759,0.0,0.15,0.15,3.0,False,True,False,False,2.0,0.5,0.38729833462074176,-0.15,0.0,0.15,0.15,3.0,False,True,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,normal_04,A,16,0,20.86320686340332,0.8980101943016052,20.86320686340332,4.0,8.76605224609375,2.0,14.271021207173666,12.530821800231934,17.579729080200195,0.9509206215540568,0.9288910031318665,0.9627695679664612,-4.143069903055827,-7.490555763244629,-0.4983024597167969,-0.03449239333470663,-0.06117624044418335,-0.004661083221435547,,0.45,0.35,1.1666666666666667,0.45,-0.0,0.45,1.0,True,False,True,True,3.0,1.5,1.2247448713915892,0.45,0.45,-0.0,0.45,1.0,True,False,True,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,normal_04,B,16,0,20.364904403686523,0.9026712775230408,20.364904403686523,3.0,8.698663711547852,3.0,14.167892456054688,12.113530158996582,17.859325408935547,0.9512779712677002,0.9265149831771851,0.9645493626594543,-3.478666623433431,-6.992253303527832,0.4983024597167969,-0.028277615706125896,-0.0565151572227478,0.004661083221435547,,0.25,0.15,0.5,0.25,-0.0,0.25,2.0,True,False,False,False,2.0,0.5,0.4082482904638631,0.25,0.25,-0.0,0.25,2.0,True,False,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,normal_04,C,16,0,16.422855377197266,0.9356500506401062,16.422855377197266,2.0,6.616624355316162,4.0,12.831192970275879,12.113530158996582,13.677536010742188,0.9608586629231771,0.9569253325462341,0.9645493626594543,1.7773987452189128,-3.050204277038574,4.440351486206055,0.015694081783294678,-0.023536384105682373,0.03763985633850098,,-0.15,-0.25,-0.8333333333333334,0.0,0.15,0.15,3.5,False,True,False,False,0.5,-1.0,-0.8164965809277261,-0.15,0.0,0.15,0.15,3.5,False,True,False,False
p001,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,normal_04,D,16,0,13.372651100158691,0.9591864347457886,13.372651100158691,1.0,11.124632835388184,1.0,16.372196833292644,13.677536010742188,17.859325408935547,0.9374437729517618,0.9265149831771851,0.9569253325462341,5.844337781270345,3.050204277038574,7.490555763244629,0.04707592725753784,0.023536384105682373,0.06117624044418335,,-0.15,-0.25,-0.8333333333333334,0.0,0.15,0.15,3.5,False,True,False,False,0.5,-1.0,-0.8164965809277261,-0.15,0.0,0.15,0.15,3.5,False,True,False,False
