ballot_id,intervention,strength,candidate_id,display_id,baseline_allocation,allocation,delta_allocation,baseline_borda_points,borda_points,delta_borda,baseline_best_pick_vote,best_pick_vote,delta_best_pick
p060::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_help_to_top,0.2,C,C,0.4444444444444445,-0.3333333333333333,-0.7777777777777778,3.0,2.0,-1.0,1,0,-1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.2,C,C,-0.2173913043478261,0.55,0.7673913043478262,0.5,3.0,2.5,0,1,1
p060::Qwen/Qwen2.5-7B-Instruct::normal_02,hurt_to_top,0.2,C,C,0.4444444444444445,-0.2173913043478261,-0.6618357487922706,3.0,2.0,-1.0,1,0,-1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.2,C,C,-0.2173913043478261,0.4326923076923077,0.6500836120401339,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,random_to_bottom,0.2,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,random_to_bottom,0.1,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.1,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.05,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.05,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.1,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p060::Qwen/Qwen2.5-7B-Instruct::normal_04,hurt_to_top,0.2,C,C,0.409090909090909,-0.2173913043478261,-0.6264822134387351,3.0,0.0,-3.0,1,0,-1
p060::Qwen/Qwen2.5-7B-Instruct::normal_04,neg_help_to_top,0.2,C,C,0.409090909090909,-0.2173913043478261,-0.6264822134387351,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random_to_top,0.05,A,A,0.4761904761904761,-0.15,-0.6261904761904761,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random3_to_top,0.2,A,A,0.4761904761904761,-0.15,-0.6261904761904761,3.0,0.0,-3.0,1,0,-1
