domain,method,prompt_id,scores_json,selection,selector_consensus_share,selector_repeats
factual_qa,direct_best_pick,p001,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p001,"{""A"": 3.0, ""B"": 2.0, ""C"": 1.0, ""D"": 0.0}",A,,
factual_qa,direct_signed_allocation,p001,"{""A"": 0.45, ""B"": 0.15, ""C"": -0.25, ""D"": -0.15}",A,,
factual_qa,direct_best_pick,p002,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p002,"{""A"": 3.0, ""B"": 2.0, ""C"": 1.0, ""D"": 0.0}",A,,
factual_qa,direct_signed_allocation,p002,"{""A"": 0.45, ""B"": 0.15, ""C"": -0.25, ""D"": -0.15}",A,,
factual_qa,direct_best_pick,p003,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p003,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.8333333333333334, ""D"": 0.16666666666666666}",A,,
factual_qa,direct_signed_allocation,p003,"{""A"": 0.4166666666666667, ""B"": 0.25, ""C"": -0.2833333333333334, ""D"": -0.049999999999999996}",A,,
factual_qa,direct_best_pick,p004,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p004,"{""A"": 3.0, ""B"": 2.0, ""C"": 1.0, ""D"": 0.0}",A,,
factual_qa,direct_signed_allocation,p004,"{""A"": 0.475, ""B"": 0.2, ""C"": -0.25, ""D"": -0.075}",A,,
reasoning,direct_best_pick,p005,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_borda,p005,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.875, ""D"": 0.125}",A,,
reasoning,direct_signed_allocation,p005,"{""A"": 0.475, ""B"": 0.2, ""C"": -0.25, ""D"": -0.075}",A,,
reasoning,direct_best_pick,p006,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_borda,p006,"{""A"": 3.0, ""B"": 2.0, ""C"": 1.0, ""D"": 0.0}",A,,
reasoning,direct_signed_allocation,p006,"{""A"": 0.43333333333333335, ""B"": 0.19999999999999998, ""C"": -0.26666666666666666, ""D"": -0.09999999999999999}",A,,
reasoning,direct_best_pick,p007,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_borda,p007,"{""A"": 3.0, ""B"": 2.0, ""C"": 1.0, ""D"": 0.0}",A,,
reasoning,direct_signed_allocation,p007,"{""A"": 0.45, ""B"": 0.15, ""C"": -0.25, ""D"": -0.15}",A,,
