allocation,allocation_first_pass_valid,allocation_retry_count,ballot_field_order,best_pick_vote,borda_points,candidate_display_order,candidate_id,display_id,domain,evaluator,evaluator_id,evaluator_model,placeholder_reason,prompt_id,raw_output,reason,vote_repair_count,vote_repairs_json
0.0,False,1,"borda_ranking,best_pick,signed_allocation",0.0,1.0,"B,C,A,D",A,A,writing,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,False,p011,"{
  ""votes"": {
    ""borda_ranking"": [[""C""], [""B""], [""A""], [""D""]],
    ""best_pick"": ""C"",
    ""signed_allocation_reason"": ""Candidate C provides the most detailed and structured update, including specific actions and timelines."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 0},
      {""candidate_id"": ""B"", ""cents"": -15},
      {""candidate_id"": ""C"", ""cents"": 45},
      {""candidate_id"": ""D"", ""cents"": -40}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C provides the most detailed and structured update, including specific actions and timelines.",0,[]
-0.15,False,1,"borda_ranking,best_pick,signed_allocation",0.0,2.0,"B,C,A,D",B,B,writing,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,False,p011,"{
  ""votes"": {
    ""borda_ranking"": [[""C""], [""B""], [""A""], [""D""]],
    ""best_pick"": ""C"",
    ""signed_allocation_reason"": ""Candidate C provides the most detailed and structured update, including specific actions and timelines."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 0},
      {""candidate_id"": ""B"", ""cents"": -15},
      {""candidate_id"": ""C"", ""cents"": 45},
      {""candidate_id"": ""D"", ""cents"": -40}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C provides the most detailed and structured update, including specific actions and timelines.",0,[]
0.45,False,1,"borda_ranking,best_pick,signed_allocation",1.0,3.0,"B,C,A,D",C,C,writing,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,False,p011,"{
  ""votes"": {
    ""borda_ranking"": [[""C""], [""B""], [""A""], [""D""]],
    ""best_pick"": ""C"",
    ""signed_allocation_reason"": ""Candidate C provides the most detailed and structured update, including specific actions and timelines."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 0},
      {""candidate_id"": ""B"", ""cents"": -15},
      {""candidate_id"": ""C"", ""cents"": 45},
      {""candidate_id"": ""D"", ""cents"": -40}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C provides the most detailed and structured update, including specific actions and timelines.",0,[]
-0.4,False,1,"borda_ranking,best_pick,signed_allocation",0.0,0.0,"B,C,A,D",D,D,writing,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,False,p011,"{
  ""votes"": {
    ""borda_ranking"": [[""C""], [""B""], [""A""], [""D""]],
    ""best_pick"": ""C"",
    ""signed_allocation_reason"": ""Candidate C provides the most detailed and structured update, including specific actions and timelines."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 0},
      {""candidate_id"": ""B"", ""cents"": -15},
      {""candidate_id"": ""C"", ""cents"": 45},
      {""candidate_id"": ""D"", ""cents"": -40}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C provides the most detailed and structured update, including specific actions and timelines.",0,[]
0.45,True,0,"best_pick,signed_allocation,borda_ranking",1.0,3.0,"A,C,B,D",A,A,ethics_policy,normal_04,Qwen/Qwen2.5-7B-Instruct::normal_04,Qwen/Qwen2.5-7B-Instruct,False,p043,"{
  ""votes"": {
    ""best_pick"": ""A"",
    ""signed_allocation_reason"": ""Candidate A provides a concise and clear assessment with specific points on each aspect without unnecessary elaboration."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 25},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -15}
    ],
    ""absolute_cents_total"": 100
  },
  ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]]
}",Candidate A provides a concise and clear assessment with specific points on each aspect without unnecessary elaboration.,1,"[""copied_top_level_borda_ranking""]"
0.25,True,0,"best_pick,signed_allocation,borda_ranking",0.0,2.0,"A,C,B,D",B,B,ethics_policy,normal_04,Qwen/Qwen2.5-7B-Instruct::normal_04,Qwen/Qwen2.5-7B-Instruct,False,p043,"{
  ""votes"": {
    ""best_pick"": ""A"",
    ""signed_allocation_reason"": ""Candidate A provides a concise and clear assessment with specific points on each aspect without unnecessary elaboration."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 25},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -15}
    ],
    ""absolute_cents_total"": 100
  },
  ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]]
}",Candidate A provides a concise and clear assessment with specific points on each aspect without unnecessary elaboration.,1,"[""copied_top_level_borda_ranking""]"
-0.15,True,0,"best_pick,signed_allocation,borda_ranking",0.0,0.5,"A,C,B,D",C,C,ethics_policy,normal_04,Qwen/Qwen2.5-7B-Instruct::normal_04,Qwen/Qwen2.5-7B-Instruct,False,p043,"{
  ""votes"": {
    ""best_pick"": ""A"",
    ""signed_allocation_reason"": ""Candidate A provides a concise and clear assessment with specific points on each aspect without unnecessary elaboration."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 25},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -15}
    ],
    ""absolute_cents_total"": 100
  },
  ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]]
}",Candidate A provides a concise and clear assessment with specific points on each aspect without unnecessary elaboration.,1,"[""copied_top_level_borda_ranking""]"
-0.15,True,0,"best_pick,signed_allocation,borda_ranking",0.0,0.5,"A,C,B,D",D,D,ethics_policy,normal_04,Qwen/Qwen2.5-7B-Instruct::normal_04,Qwen/Qwen2.5-7B-Instruct,False,p043,"{
  ""votes"": {
    ""best_pick"": ""A"",
    ""signed_allocation_reason"": ""Candidate A provides a concise and clear assessment with specific points on each aspect without unnecessary elaboration."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 25},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -15}
    ],
    ""absolute_cents_total"": 100
  },
  ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]]
}",Candidate A provides a concise and clear assessment with specific points on each aspect without unnecessary elaboration.,1,"[""copied_top_level_borda_ranking""]"
0.45,True,0,"best_pick,borda_ranking,signed_allocation",0.0,1.5,"A,B,D,C",A,A,factual_qa,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,False,p004,"{
  ""votes"": {
    ""best_pick"": ""B"",
    ""borda_ranking"": [[""B""], [""A"", ""C""], [""D""]],
    ""signed_allocation_reason"": ""Candidate B provides the most detailed and comprehensive explanation, while still being clear and relevant."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -10}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate B provides the most detailed and comprehensive explanation, while still being clear and relevant.",0,[]
0.3,True,0,"best_pick,borda_ranking,signed_allocation",1.0,3.0,"A,B,D,C",B,B,factual_qa,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,False,p004,"{
  ""votes"": {
    ""best_pick"": ""B"",
    ""borda_ranking"": [[""B""], [""A"", ""C""], [""D""]],
    ""signed_allocation_reason"": ""Candidate B provides the most detailed and comprehensive explanation, while still being clear and relevant."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -10}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate B provides the most detailed and comprehensive explanation, while still being clear and relevant.",0,[]
-0.15,True,0,"best_pick,borda_ranking,signed_allocation",0.0,1.5,"A,B,D,C",C,C,factual_qa,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,False,p004,"{
  ""votes"": {
    ""best_pick"": ""B"",
    ""borda_ranking"": [[""B""], [""A"", ""C""], [""D""]],
    ""signed_allocation_reason"": ""Candidate B provides the most detailed and comprehensive explanation, while still being clear and relevant."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -10}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate B provides the most detailed and comprehensive explanation, while still being clear and relevant.",0,[]
-0.1,True,0,"best_pick,borda_ranking,signed_allocation",0.0,0.0,"A,B,D,C",D,D,factual_qa,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,False,p004,"{
  ""votes"": {
    ""best_pick"": ""B"",
    ""borda_ranking"": [[""B""], [""A"", ""C""], [""D""]],
    ""signed_allocation_reason"": ""Candidate B provides the most detailed and comprehensive explanation, while still being clear and relevant."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -10}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate B provides the most detailed and comprehensive explanation, while still being clear and relevant.",0,[]
