allocation,best_pick_vote,borda_points,candidate_id,domain,evaluator,prompt_id
0.45,1.0,3.0,A,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p001
0.15,0.0,2.0,B,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p001
-0.25,0.0,1.0,C,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p001
-0.15,0.0,0.0,D,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p001
0.45,1.0,3.0,A,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_01,p002
0.15,0.0,2.0,B,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_01,p002
-0.25,0.0,1.0,C,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_01,p002
-0.15,0.0,0.0,D,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_01,p002
0.5,1.0,3.0,A,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p002
0.2,0.0,2.0,B,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p002
0.15,0.0,1.0,C,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p002
0.15,0.0,0.0,D,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p002
0.45,1.0,3.0,A,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_04,p002
0.15,0.0,2.0,B,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_04,p002
-0.25,0.0,1.0,C,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_04,p002
-0.15,0.0,0.0,D,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_04,p002
0.45,1.0,3.0,A,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p003
0.15,0.0,2.0,B,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p003
-0.25,0.0,1.0,C,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p003
-0.15,0.0,0.0,D,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p003
0.45,1.0,3.0,A,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p003
0.15,0.0,2.0,B,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p003
-0.25,0.0,1.0,C,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p003
-0.15,0.0,0.0,D,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p003
0.5,1.0,3.0,A,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p004
0.25,0.0,2.0,B,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p004
-0.25,0.0,1.0,C,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p004
0.0,0.0,0.0,D,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_02,p004
0.5,1.0,3.0,A,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p004
0.25,0.0,2.0,B,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p004
-0.25,0.0,1.0,C,factual_qa,meta-llama/Llama-3.1-8B-Instruct::normal_03,p004
