comparison,prompt_id,evaluator_id,candidate_id,allocation_left,borda_points_left,best_pick_vote_left,allocation_right,borda_points_right,best_pick_vote_right,allocation_change,absolute_allocation_change,allocation_magnitude_same,allocation_exact_same,polarity_changed,borda_changed,best_pick_changed
anchoring_effect,p011,Qwen/Qwen2.5-7B-Instruct::normal_01,A,0.0,1.0,0.0,0.45,2.0,0.0,0.45,0.45,False,False,True,True,False
anchoring_effect,p011,Qwen/Qwen2.5-7B-Instruct::normal_01,B,-0.15,2.0,0.0,0.15,1.0,0.0,0.3,0.3,True,False,True,True,False
anchoring_effect,p011,Qwen/Qwen2.5-7B-Instruct::normal_01,C,0.45,3.0,1.0,0.3,3.0,1.0,-0.15000000000000002,0.15000000000000002,False,False,False,False,False
anchoring_effect,p011,Qwen/Qwen2.5-7B-Instruct::normal_01,D,-0.4,0.0,0.0,0.1,0.0,0.0,0.5,0.5,False,False,True,False,False
anchoring_effect,p043,Qwen/Qwen2.5-7B-Instruct::normal_04,A,0.45,3.0,1.0,0.4,3.0,1.0,-0.04999999999999999,0.04999999999999999,False,False,False,False,False
anchoring_effect,p043,Qwen/Qwen2.5-7B-Instruct::normal_04,B,0.25,2.0,0.0,0.3,2.0,0.0,0.04999999999999999,0.04999999999999999,False,False,False,False,False
anchoring_effect,p043,Qwen/Qwen2.5-7B-Instruct::normal_04,C,-0.15,0.5,0.0,-0.15,0.5,0.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p043,Qwen/Qwen2.5-7B-Instruct::normal_04,D,-0.15,0.5,0.0,-0.15,0.5,0.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p004,Qwen/Qwen2.5-7B-Instruct::normal_03,A,0.45,1.5,0.0,0.4,1.5,0.0,-0.04999999999999999,0.04999999999999999,False,False,False,False,False
anchoring_effect,p004,Qwen/Qwen2.5-7B-Instruct::normal_03,B,0.3,3.0,1.0,0.3,1.5,0.0,0.0,0.0,True,True,False,True,True
anchoring_effect,p004,Qwen/Qwen2.5-7B-Instruct::normal_03,C,-0.15,1.5,0.0,0.25,3.0,1.0,0.4,0.4,False,False,True,True,True
anchoring_effect,p004,Qwen/Qwen2.5-7B-Instruct::normal_03,D,-0.1,0.0,0.0,-0.05,0.0,0.0,0.05,0.05,False,False,False,False,False
anchoring_effect,p019,Qwen/Qwen2.5-7B-Instruct::normal_03,A,0.45,3.0,1.0,0.5,3.0,1.0,0.04999999999999999,0.04999999999999999,False,False,False,False,False
anchoring_effect,p019,Qwen/Qwen2.5-7B-Instruct::normal_03,B,0.25,2.0,0.0,0.3,2.0,0.0,0.04999999999999999,0.04999999999999999,False,False,False,False,False
anchoring_effect,p019,Qwen/Qwen2.5-7B-Instruct::normal_03,C,0.1,1.0,0.0,0.15,1.0,0.0,0.04999999999999999,0.04999999999999999,False,False,False,False,False
anchoring_effect,p019,Qwen/Qwen2.5-7B-Instruct::normal_03,D,-0.2,0.0,0.0,-0.05,0.0,0.0,0.15000000000000002,0.15000000000000002,False,False,False,False,False
anchoring_effect,p047,Qwen/Qwen2.5-7B-Instruct::normal_03,A,0.45,1.5,0.0,0.3,2.0,0.0,-0.15000000000000002,0.15000000000000002,False,False,False,True,False
anchoring_effect,p047,Qwen/Qwen2.5-7B-Instruct::normal_03,B,0.25,1.5,0.0,-0.1,0.5,0.0,-0.35,0.35,False,False,True,True,False
anchoring_effect,p047,Qwen/Qwen2.5-7B-Instruct::normal_03,C,0.0,3.0,1.0,-0.15,0.5,0.0,-0.15,0.15,False,False,True,True,True
anchoring_effect,p047,Qwen/Qwen2.5-7B-Instruct::normal_03,D,-0.3,0.0,0.0,0.45,3.0,1.0,0.75,0.75,False,False,True,True,True
anchoring_effect,p078,Qwen/Qwen2.5-7B-Instruct::normal_01,A,0.45,3.0,1.0,0.45,3.0,1.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p078,Qwen/Qwen2.5-7B-Instruct::normal_01,B,0.25,2.0,0.0,0.25,2.0,0.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p078,Qwen/Qwen2.5-7B-Instruct::normal_01,C,-0.15,0.5,0.0,-0.15,0.5,0.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p078,Qwen/Qwen2.5-7B-Instruct::normal_01,D,-0.15,0.5,0.0,-0.15,0.5,0.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p033,Qwen/Qwen2.5-7B-Instruct::normal_02,A,-0.15,0.5,0.0,-0.15,0.5,0.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p033,Qwen/Qwen2.5-7B-Instruct::normal_02,B,-0.15,0.5,0.0,-0.15,0.5,0.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p033,Qwen/Qwen2.5-7B-Instruct::normal_02,C,0.45,3.0,1.0,0.45,3.0,1.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p033,Qwen/Qwen2.5-7B-Instruct::normal_02,D,0.25,2.0,0.0,0.25,2.0,0.0,0.0,0.0,True,True,False,False,False
anchoring_effect,p080,Qwen/Qwen2.5-7B-Instruct::normal_04,A,0.0,0.0,0.0,0.45,3.0,1.0,0.45,0.45,False,False,True,True,True
anchoring_effect,p080,Qwen/Qwen2.5-7B-Instruct::normal_04,B,0.0,1.0,0.0,0.25,2.0,0.0,0.25,0.25,False,False,True,True,False
anchoring_effect,p080,Qwen/Qwen2.5-7B-Instruct::normal_04,C,-0.25,2.0,0.0,-0.15,0.5,0.0,0.1,0.1,False,False,False,True,False
anchoring_effect,p080,Qwen/Qwen2.5-7B-Instruct::normal_04,D,0.75,3.0,1.0,-0.15,0.5,0.0,-0.9,0.9,False,False,True,True,True
anchoring_effect,p027,Qwen/Qwen2.5-7B-Instruct::normal_01,A,0.15,2.0,0.0,0.3,1.5,0.0,0.15,0.15,False,False,False,True,False
anchoring_effect,p027,Qwen/Qwen2.5-7B-Instruct::normal_01,B,0.1,1.0,0.0,0.15,1.5,0.0,0.04999999999999999,0.04999999999999999,False,False,False,True,False
