allocation,best_pick_vote,borda_points,candidate_id,domain,evaluator,prompt_id
0.25,0.0,2.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p001
0.2,0.0,1.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p001
-0.25,0.0,0.0,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p001
0.3,1.0,3.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p001
0.45,0.0,1.5,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p001
0.3,1.0,3.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p001
-0.15,0.0,0.0,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p001
-0.1,0.0,1.5,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p001
0.45,1.0,1.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p001
0.15,0.0,0.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p001
-0.25,0.0,3.0,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p001
-0.15,0.0,2.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p001
0.45,1.0,3.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p001
0.25,0.0,2.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p001
-0.15,0.0,0.5,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p001
-0.15,0.0,0.5,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p001
0.45,0.0,3.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p002
0.15,0.0,1.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p002
0.3,1.0,2.0,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p002
0.1,0.0,0.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p002
0.45,1.0,3.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p002
0.2,0.0,1.5,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p002
0.15,0.0,1.5,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p002
-0.2,0.0,0.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p002
0.0,0.0,2.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p002
-0.15,0.0,0.5,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p002
-0.25,0.0,0.5,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p002
0.6,1.0,3.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p002
0.45,0.0,2.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p002
0.25,0.0,1.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p002
0.0,1.0,3.0,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p002
-0.3,0.0,0.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p002
0.4,1.0,3.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p003
0.3,0.0,2.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p003
-0.1,0.0,0.5,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p003
-0.2,0.0,0.5,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p003
0.45,1.0,3.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p003
0.25,0.0,2.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p003
0.15,0.0,1.0,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p003
-0.15,0.0,0.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p003
0.45,1.0,3.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p003
0.3,0.0,2.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p003
-0.15,0.0,0.5,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p003
-0.1,0.0,0.5,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p003
0.45,1.0,3.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p003
0.3,0.0,2.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p003
-0.1,0.0,1.0,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p003
-0.15,0.0,0.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_04,p003
0.0,0.0,1.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p004
-0.15,0.0,0.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p004
-0.25,0.0,2.0,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p004
0.6,1.0,3.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_01,p004
0.45,1.0,1.0,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p004
-0.15,0.0,0.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p004
0.3,0.0,2.5,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p004
-0.1,0.0,2.5,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_02,p004
0.45,0.0,1.5,A,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p004
0.3,1.0,3.0,B,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p004
-0.15,0.0,1.5,C,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p004
-0.1,0.0,0.0,D,factual_qa,Qwen/Qwen2.5-7B-Instruct::normal_03,p004
0.45,0.0,0.5,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p005
0.3,1.0,3.0,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p005
-0.15,0.0,2.0,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p005
-0.1,0.0,0.5,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p005
0.45,0.0,1.0,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p005
0.3,1.0,3.0,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p005
0.2,0.0,2.0,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p005
-0.05,0.0,0.0,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p005
0.3,0.0,1.5,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p005
0.2,0.0,1.5,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p005
0.45,1.0,3.0,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p005
0.05,0.0,0.0,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p005
0.45,1.0,3.0,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p006
0.25,0.0,2.0,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p006
-0.15,0.0,0.5,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p006
-0.15,0.0,0.5,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p006
-0.15,0.0,0.0,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p006
0.45,1.0,3.0,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p006
-0.25,0.0,1.5,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p006
0.15,0.0,1.5,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p006
0.45,0.0,1.5,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p006
0.25,0.0,1.5,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p006
0.15,1.0,3.0,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p006
-0.15,0.0,0.0,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p006
0.45,1.0,3.0,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p006
0.15,0.0,1.5,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p006
-0.25,0.0,0.0,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p006
-0.15,0.0,1.5,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p006
0.45,1.0,3.0,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p007
0.3,0.0,2.0,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p007
-0.2,0.0,0.5,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p007
-0.05,0.0,0.5,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p007
0.2,0.0,2.0,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p007
0.4,1.0,3.0,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p007
-0.3,0.0,0.5,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p007
-0.1,0.0,0.5,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p007
0.45,1.0,3.0,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p007
0.15,0.0,2.0,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p007
-0.25,0.0,0.5,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p007
-0.15,0.0,0.5,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_03,p007
0.45,1.0,3.0,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p007
0.3,0.0,2.0,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p007
-0.1,0.0,0.5,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p007
-0.15,0.0,0.5,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_04,p007
0.45,1.0,3.0,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p008
0.3,0.0,2.0,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p008
0.2,0.0,1.0,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p008
0.05,0.0,0.0,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_01,p008
0.25,0.0,1.5,A,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p008
0.25,0.0,1.5,B,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p008
0.3,1.0,3.0,C,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p008
0.2,0.0,0.0,D,reasoning,Qwen/Qwen2.5-7B-Instruct::normal_02,p008
