allocation,allocation_first_pass_valid,allocation_retry_count,ballot_field_order,best_pick_vote,borda_points,candidate_display_order,candidate_id,display_id,domain,evaluator,evaluator_id,evaluator_model,placeholder_reason,prompt_id,raw_output,reason,vote_repair_count,vote_repairs_json
0.45,False,1,"borda_ranking,best_pick,signed_allocation",0.0,2.0,"B,C,A,D",A,A,writing,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,False,p011,"{
  ""votes"": {
    ""borda_ranking"": [[""C""], [""A""], [""B""], [""D""]],
    ""best_pick"": ""C"",
    ""signed_allocation_reason"": ""Candidate C closely matches the private reference answer with detailed and structured sections, while Candidate D is less clear and concise."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 15},
      {""candidate_id"": ""C"", ""cents"": 30},
      {""candidate_id"": ""D"", ""cents"": 10}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C closely matches the private reference answer with detailed and structured sections, while Candidate D is less clear and concise.",0,[]
0.15,False,1,"borda_ranking,best_pick,signed_allocation",0.0,1.0,"B,C,A,D",B,B,writing,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,False,p011,"{
  ""votes"": {
    ""borda_ranking"": [[""C""], [""A""], [""B""], [""D""]],
    ""best_pick"": ""C"",
    ""signed_allocation_reason"": ""Candidate C closely matches the private reference answer with detailed and structured sections, while Candidate D is less clear and concise."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 15},
      {""candidate_id"": ""C"", ""cents"": 30},
      {""candidate_id"": ""D"", ""cents"": 10}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C closely matches the private reference answer with detailed and structured sections, while Candidate D is less clear and concise.",0,[]
0.3,False,1,"borda_ranking,best_pick,signed_allocation",1.0,3.0,"B,C,A,D",C,C,writing,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,False,p011,"{
  ""votes"": {
    ""borda_ranking"": [[""C""], [""A""], [""B""], [""D""]],
    ""best_pick"": ""C"",
    ""signed_allocation_reason"": ""Candidate C closely matches the private reference answer with detailed and structured sections, while Candidate D is less clear and concise."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 15},
      {""candidate_id"": ""C"", ""cents"": 30},
      {""candidate_id"": ""D"", ""cents"": 10}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C closely matches the private reference answer with detailed and structured sections, while Candidate D is less clear and concise.",0,[]
0.1,False,1,"borda_ranking,best_pick,signed_allocation",0.0,0.0,"B,C,A,D",D,D,writing,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,False,p011,"{
  ""votes"": {
    ""borda_ranking"": [[""C""], [""A""], [""B""], [""D""]],
    ""best_pick"": ""C"",
    ""signed_allocation_reason"": ""Candidate C closely matches the private reference answer with detailed and structured sections, while Candidate D is less clear and concise."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 15},
      {""candidate_id"": ""C"", ""cents"": 30},
      {""candidate_id"": ""D"", ""cents"": 10}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C closely matches the private reference answer with detailed and structured sections, while Candidate D is less clear and concise.",0,[]
0.4,False,1,"best_pick,signed_allocation,borda_ranking",1.0,3.0,"A,C,B,D",A,A,ethics_policy,normal_04,Qwen/Qwen2.5-7B-Instruct::normal_04,Qwen/Qwen2.5-7B-Instruct,False,p043,"{
  ""votes"": {
    ""best_pick"": ""A"",
    ""signed_allocation_reason"": ""Candidate A closely aligns with the private reference answer in providing a comprehensive and balanced assessment."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 40},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -15}
    ],
    ""absolute_cents_total"": 100
  },
  ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]]
}",Candidate A closely aligns with the private reference answer in providing a comprehensive and balanced assessment.,1,"[""copied_top_level_borda_ranking""]"
0.3,False,1,"best_pick,signed_allocation,borda_ranking",0.0,2.0,"A,C,B,D",B,B,ethics_policy,normal_04,Qwen/Qwen2.5-7B-Instruct::normal_04,Qwen/Qwen2.5-7B-Instruct,False,p043,"{
  ""votes"": {
    ""best_pick"": ""A"",
    ""signed_allocation_reason"": ""Candidate A closely aligns with the private reference answer in providing a comprehensive and balanced assessment."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 40},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -15}
    ],
    ""absolute_cents_total"": 100
  },
  ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]]
}",Candidate A closely aligns with the private reference answer in providing a comprehensive and balanced assessment.,1,"[""copied_top_level_borda_ranking""]"
-0.15,False,1,"best_pick,signed_allocation,borda_ranking",0.0,0.5,"A,C,B,D",C,C,ethics_policy,normal_04,Qwen/Qwen2.5-7B-Instruct::normal_04,Qwen/Qwen2.5-7B-Instruct,False,p043,"{
  ""votes"": {
    ""best_pick"": ""A"",
    ""signed_allocation_reason"": ""Candidate A closely aligns with the private reference answer in providing a comprehensive and balanced assessment."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 40},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -15}
    ],
    ""absolute_cents_total"": 100
  },
  ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]]
}",Candidate A closely aligns with the private reference answer in providing a comprehensive and balanced assessment.,1,"[""copied_top_level_borda_ranking""]"
-0.15,False,1,"best_pick,signed_allocation,borda_ranking",0.0,0.5,"A,C,B,D",D,D,ethics_policy,normal_04,Qwen/Qwen2.5-7B-Instruct::normal_04,Qwen/Qwen2.5-7B-Instruct,False,p043,"{
  ""votes"": {
    ""best_pick"": ""A"",
    ""signed_allocation_reason"": ""Candidate A closely aligns with the private reference answer in providing a comprehensive and balanced assessment."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 40},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -15},
      {""candidate_id"": ""D"", ""cents"": -15}
    ],
    ""absolute_cents_total"": 100
  },
  ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]]
}",Candidate A closely aligns with the private reference answer in providing a comprehensive and balanced assessment.,1,"[""copied_top_level_borda_ranking""]"
0.4,False,2,"best_pick,borda_ranking,signed_allocation",0.0,1.5,"A,B,D,C",A,A,factual_qa,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,False,p004,"{
  ""votes"": {
    ""best_pick"": ""C"",
    ""borda_ranking"": [[""C""], [""A"", ""B""], [""D""]],
    ""signed_allocation_reason"": ""Candidate C closely matches the private reference answer in detail and clarity, while A and B are slightly less comprehensive and D is slightly less clear and detailed."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 40},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": 25},
      {""candidate_id"": ""D"", ""cents"": -5}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C closely matches the private reference answer in detail and clarity, while A and B are slightly less comprehensive and D is slightly less clear and detailed.",0,[]
0.3,False,2,"best_pick,borda_ranking,signed_allocation",0.0,1.5,"A,B,D,C",B,B,factual_qa,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,False,p004,"{
  ""votes"": {
    ""best_pick"": ""C"",
    ""borda_ranking"": [[""C""], [""A"", ""B""], [""D""]],
    ""signed_allocation_reason"": ""Candidate C closely matches the private reference answer in detail and clarity, while A and B are slightly less comprehensive and D is slightly less clear and detailed."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 40},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": 25},
      {""candidate_id"": ""D"", ""cents"": -5}
    ],
    ""absolute_cents_total"": 100
  }
}","Candidate C closely matches the private reference answer in detail and clarity, while A and B are slightly less comprehensive and D is slightly less clear and detailed.",0,[]
