candidate_id,domain,error,evaluator,evaluator_id,evaluator_model,prompt_id,raw_output
"A,B,C,D",code,strict_allocation_invalid_after_retries:absolute_total:130,normal_03,meta-llama/Llama-3.1-8B-Instruct::normal_03,meta-llama/Llama-3.1-8B-Instruct,p019,"{""votes"":{""borda_ranking"":[[""D""],[""C""],[""B""],[""A""]],""signed_allocation_reason"":""Candidate D is the best choice due to its correct implementation of ROW_NUMBER() for ranking with ties, while Candidate C is the riskiest due to its use of a Common Table Expression (CTE) which may not be supported by all SQL dialects, and Candidate B is the farthest from the correct solution due to its incorrect date range calculation. Candidate A is the weakest due to its assumption of no ties and lack of handling for ranking with ties."",""signed_allocation_cents"":[{""candidate_id"":""D"",""cents"":50},{""candidate_id"":""C"",""cents"":20},{""candidate_id"":""B"",""cents"":15},{""candidate_id"":""A"",""cents"":-45}],""absolute_cents_total"":100,""best_pick"":""D""}}"
"A,B,C,D",business_advice,strict_allocation_invalid_after_retries:invalid_json:JSONDecodeError,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p078,"{""votes"":{""signed_allocation_reason"":""Candidate A is the strongest due to its comprehensive approach, while Candidate C is the riskiest due to its lack of concrete implementation details. Candidate B is a close second, but its plan is overly detailed and lacks a clear prioritization. Candidate D's plan is incomplete and lacks a clear strategy for measuring results. "",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":40},{""candidate_id"":""B"",""cents"":30},{""candidate_id"":""C"",""cents"":-30},{""candidate_id"":""D"",""cents"":40},{""absolute_cents_total"":100}],""best_pick"":""A"",""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]]}"
"A,B,C,D",writing,ValueError('placeholder reason'),normal_02,meta-llama/Llama-3.1-8B-Instruct::normal_02,meta-llama/Llama-3.1-8B-Instruct,p033,"{""votes"": {
  ""best_pick"": ""C"",
  ""borda_ranking"": [[""C""],[""A""],[""B""],[""D""]],
  ""signed_allocation_cents"": [
    {""candidate_id"": ""C"", ""cents"": 40},
    {""candidate_id"": ""A"", ""cents"": 30},
    {""candidate_id"": ""B"", ""cents"": 15},
    {""candidate_id"": ""D"", ""cents"": 15}
  ],
  ""absolute_cents_total"": 100
}}"
"A,B,C,D",business_advice,strict_allocation_invalid_after_retries:absolute_total:120,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,p080,"{""votes"":{""signed_allocation_reason"":""Candidate A is the strongest due to its clear and concise plan with well-defined strategies and trade-offs, while Candidate C is the farthest due to its lack of specificity and overly broad approach. Candidate B's plan is helpful but lacks a clear structure, and Candidate D's plan is incomplete and lacks depth. Candidate A's clarity and balance make it the best choice."",
""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":-30}],
""absolute_cents_total"":100,
""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],
""best_pick"":""A""}}"
"A,B,C,D",instruction_following,strict_allocation_invalid_after_retries:expected_4_allocation_items_got_5;unexpected_candidate:;absolute_cents_total_not_numeric,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p086,"{""votes"":{""best_pick"":""A"",""signed_allocation_reason"":""Candidate A is the strongest due to its clarity and completeness, while candidates C and D are farthest due to minor inaccuracies and missing details, and candidate B is the riskiest due to its incomplete instruction to 'toss gently'."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":30},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":0},{""absolute_cents_total"":60}],""borda_ranking"":[[""A""],[""B""],[""C"",""D""]]}}"
"A,B,C,D",factual_qa,strict_allocation_invalid_after_retries:absolute_total:160,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p004,"{""votes"":{""best_pick"":""D"",""borda_ranking"":[[""D""],[""A""],[""B""],[""C""]],""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":40},{""candidate_id"":""B"",""cents"":30},{""candidate_id"":""C"",""cents"":-30},{""candidate_id"":""D"",""cents"":60}],""absolute_cents_total"":100}}"
"A,B,C,D",instruction_following,strict_allocation_invalid_after_retries:absolute_total:150,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,p026,"{""votes"": {
  ""best_pick"": ""A"",
  ""borda_ranking"": [[""A""],[""B""],[""C""],[""D""]],
  ""signed_allocation_cents"": [
    {""candidate_id"": ""A"", ""cents"": 50},
    {""candidate_id"": ""B"", ""cents"": 25},
    {""candidate_id"": ""C"", ""cents"": -25},
    {""candidate_id"": ""D"", ""cents"": -50}
  ],
  ""absolute_cents_total"": 100
}}"
"A,B,C,D",instruction_following,strict_allocation_invalid_after_retries:absolute_total:120,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,p038,"{""votes"":{""signed_allocation_reason"":""Candidate A is the strongest due to its well-rounded meal plan with a good balance of protein and vegetables, while candidates C and D are farthest due to their overly detailed and complex meal plans, and candidate B is the riskiest due to its lack of variety and limited options."",
""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":-30}],
""absolute_cents_total"":100,
""best_pick"":""A"",
""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]]}}"
"A,B,C,D",safety,strict_allocation_invalid_after_retries:absolute_total:120,normal_02,meta-llama/Llama-3.1-8B-Instruct::normal_02,meta-llama/Llama-3.1-8B-Instruct,p034,"{""votes"": {
  ""borda_ranking"": [[""A""],[""B""],[""C""],[""D""]],
  ""signed_allocation_reason"": ""Candidate A is the strongest due to its comprehensive and clear instructions, while candidates C and D are farthest due to their inclusion of potentially risky actions such as administering medication or performing CPR without proper training."",
  ""signed_allocation_cents"": [
    {""candidate_id"": ""A"", ""cents"": 50},
    {""candidate_id"": ""B"", ""cents"": 20},
    {""candidate_id"": ""C"", ""cents"": -20},
    {""candidate_id"": ""D"", ""cents"": 30}
  ],
  ""absolute_cents_total"": 100,
  ""best_pick"": ""A""
}}"
"A,B,C,D",factual_qa,strict_allocation_invalid_after_retries:absolute_total:150,normal_02,meta-llama/Llama-3.1-8B-Instruct::normal_02,meta-llama/Llama-3.1-8B-Instruct,p049,"{""votes"": {
  ""borda_ranking"": [[""A""],[""B""],[""C""],[""D""]],
  ""best_pick"": ""A"",
  ""signed_allocation_reason"": ""Candidate A is the strongest due to its clear and concise explanation of the common misconception about DST's origin, while candidates C and D are farthest due to their lengthy and less accurate descriptions."",
  ""signed_allocation_cents"": [
    {""candidate_id"": ""A"", ""cents"": 50},
    {""candidate_id"": ""B"", ""cents"": 25},
    {""candidate_id"": ""C"", ""cents"": -25},
    {""candidate_id"": ""D"", ""cents"": -50}
  ],
  ""absolute_cents_total"": 100
}}"
