candidate_id,domain,error,evaluator,evaluator_id,evaluator_model,prompt_id,raw_output
"A,B,C,D",writing,strict_allocation_invalid_after_retries:absolute_total:170,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p011,"{""votes"":{""best_pick"":""C"",""signed_allocation_reason"":""Candidate C is the closest to the private reference answer, as it provides a clear and detailed breakdown of the risks and next steps, while also addressing the payment edge cases and support team training. Candidates A and D are close seconds, but lack some detail and clarity. Candidate B is the farthest from the private reference answer, as it lacks a clear and detailed breakdown of the risks and next steps, and does not address the payment edge cases and support team training explicitly. "",""signed_allocation_cents"":[{""candidate_id"":""C"",""cents"":50},{""candidate_id"":""A"",""cents"":20},{""candidate_id"":""D"",""cents"":15},{""candidate_id"":""B"",""cents"":-85}],""absolute_cents_total"":100,""borda_ranking"":[[""C""],[""A""],[""D""],[""B""]]}}"
"A,B,C,D",analysis,strict_allocation_invalid_after_retries:absolute_total:140,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p027,"{""votes"": {
  ""borda_ranking"": [[""A""],[""B""],[""D""],[""C""]],
  ""signed_allocation_reason"": ""Candidate A is closest to the private reference answer as it accurately describes the trend and provides plausible explanations, while Candidate B is also strong but lacks a clear explanation for the initial decline. Candidates C and D are farther away from the private reference answer due to incomplete or inaccurate trend analysis."",
  ""signed_allocation_cents"": [
    {""candidate_id"": ""A"", ""cents"": 50},
    {""candidate_id"": ""B"", ""cents"": 30},
    {""candidate_id"": ""D"", ""cents"": -20},
    {""candidate_id"": ""C"", ""cents"": 40}
  ],
  ""absolute_cents_total"": 100,
  ""best_pick"": ""A""
}}"
"A,B,C,D",writing,strict_allocation_invalid_after_retries:invalid_json:JSONDecodeError,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,p061,"{""votes"":{""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],""best_pick"":""A"",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":40},{""candidate_id"":""B"",""cents"":30},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":-10},""absolute_cents_total"":100}}"
"A,B,C,D",instruction_following,strict_allocation_invalid_after_retries:absolute_total:120,normal_03,meta-llama/Llama-3.1-8B-Instruct::normal_03,meta-llama/Llama-3.1-8B-Instruct,p084,"{""votes"":{""signed_allocation_reason"":""Candidate A is closest to the private reference answer, while Candidate C is farthest due to the inclusion of a portable pillow and emergency blanket, which are not essential items for a weekend camping trip. Candidate D is also risky due to the lack of a sleeping pad and ground tarp, which are crucial for comfort and protection from the elements. Candidate B is a balanced option, but not as comprehensive as the private reference answer or Candidate A."",
""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":-30}],
""absolute_cents_total"":100,
""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],
""best_pick"":""A""}}"
"A,B,C,D",analysis,strict_allocation_invalid_after_retries:absolute_total:130,normal_03,meta-llama/Llama-3.1-8B-Instruct::normal_03,meta-llama/Llama-3.1-8B-Instruct,p093,"{""votes"":{""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],""signed_allocation_reason"":""Candidate A is closest to my private reference answer as it provides a comprehensive analysis of the A/B test results and suggests considering additional data points to inform the decision. Candidates B and C are also strong, but D is farthest from my private reference answer as it does not fully address the trade-offs between AOV and conversion rate. "",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":15},{""candidate_id"":""D"",""cents"":-45}],""absolute_cents_total"":100,""best_pick"":""A""}}"
"A,B,C,D",instruction_following,strict_allocation_invalid_after_retries:invalid_json:JSONDecodeError,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p084,"{""votes"":{""best_pick"":""A"",""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":30},""absolute_cents_total"":80}}"
"A,B,C,D",analysis,strict_allocation_invalid_after_retries:absolute_total:120,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p042,"{""votes"": {
  ""borda_ranking"": [[""A""],[""B""],[""C""],[""D""]],
  ""signed_allocation_reason"": ""Candidate A is closest to the private reference answer as it explicitly mentions the ecological fallacy and suggests a controlled study, while Candidate D is also strong but lacks the specific mention of the ecological fallacy. Candidates B and C are farther away from the private reference answer as they do not provide a detailed plan for testing the relationship."",
  ""signed_allocation_cents"": [
    {""candidate_id"": ""A"", ""cents"": 50},
    {""candidate_id"": ""B"", ""cents"": 20},
    {""candidate_id"": ""C"", ""cents"": -20},
    {""candidate_id"": ""D"", ""cents"": 30}
  ],
  ""absolute_cents_total"": 100,
  ""best_pick"": ""A""
}}"
"A,B,C,D",writing,strict_allocation_invalid_after_retries:absolute_total:120,normal_03,meta-llama/Llama-3.1-8B-Instruct::normal_03,meta-llama/Llama-3.1-8B-Instruct,p059,"{""votes"":{""signed_allocation_reason"":""Candidate A is closest to the private reference answer as it acknowledges the delay and expresses a commitment to delivering exceptional service, while candidates C and D are farthest as they introduce unforeseen circumstances, which may be perceived as shifting blame, and candidate B is riskier as it lacks a clear commitment to delivering exceptional service. "",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":40},{""candidate_id"":""B"",""cents"":30},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":-30}],""absolute_cents_total"":100,""borda_ranking"":[[""A""],[""B""],[""C"",""D""]],""best_pick"":""A""}}"
"A,B,C,D",factual_qa,strict_allocation_invalid_after_retries:invalid_json:JSONDecodeError,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p003,"{""votes"":{""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],""signed_allocation_reason"":""Candidate A is closest to the private reference answer, while Candidate B is farthest due to its incomplete explanation of fission and fusion processes. Candidates C and D are also incomplete, but Candidate B's lack of detail makes it riskier than the others. "",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":40},{""candidate_id"":""B"",""cents"":30},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":50},""absolute_cents_total"":100,""best_pick"":""A""}}"
"A,B,C,D",ethics_policy,strict_allocation_invalid_after_retries:invalid_json:JSONDecodeError,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p095,"{""votes"":{""best_pick"":""A"",""signed_allocation_reason"":""Candidate A is closest to my private reference answer in terms of addressing fairness, transparency, and consumer trust, while Candidate C provides a more comprehensive analysis of the risks involved, making it a close second. Candidates B and D lack depth in their risk assessments, particularly in the fairness and transparency sections."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":-30},{""candidate_id"":""D"",""cents"":60},{""absolute_cents_total"":100,""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]]}}"
"A,B,C,D",ethics_policy,strict_allocation_invalid_after_retries:absolute_total:160,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,p098,"{""votes"":{""signed_allocation_reason"":""Candidate A is closest to the private reference answer, while Candidate C is farthest due to its lack of discussion on addressing underlying social issues and potential biases in data. Candidate B and D provide a good balance of points but lack depth in certain areas. Candidate C's risks outweigh its benefits, making it the riskiest option."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":40},{""candidate_id"":""B"",""cents"":30},{""candidate_id"":""C"",""cents"":-30},{""candidate_id"":""D"",""cents"":60}],""absolute_cents_total"":100,""borda_ranking"":[[""A""],[""B""],[""D""],[""C""]],""best_pick"":""A""}}"
"A,B,C,D",code,strict_allocation_invalid_after_retries:absolute_total:180;reported_absolute_total:180,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,p072,"{""votes"":{""best_pick"":""A"",""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],""signed_allocation_reason"":""Candidate A is closest to the private reference answer as it is identical, while candidates B and C are also good but have minor issues, and candidate D is farthest due to incorrect use of COALESCE function."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":25},{""candidate_id"":""C"",""cents"":15},{""candidate_id"":""D"",""cents"":-90}],""absolute_cents_total"":180}}"
"A,B,C,D",business_advice,strict_allocation_invalid_after_retries:invalid_json:JSONDecodeError,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,p079,"{""votes"":{""best_pick"":""A"",""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],""signed_allocation_reason"":""Candidate A is closest to my private reference answer as it directly addresses the issue with clear hypotheses and experiments, while Candidate B also shows a structured approach, but with less detail. Candidates C and D have some good ideas, but their approaches are less comprehensive and more scattered. "",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":30},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":0},{""absolute_cents_total"":100}]}"
"A,B,C,D",business_advice,strict_allocation_invalid_after_retries:invalid_json:JSONDecodeError,normal_02,meta-llama/Llama-3.1-8B-Instruct::normal_02,meta-llama/Llama-3.1-8B-Instruct,p079,"{""votes"":{""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],""best_pick"":""A"",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":30},""absolute_cents_total"":80}}"
"A,B,C,D",code,strict_allocation_invalid_after_retries:invalid_json:JSONDecodeError,normal_03,meta-llama/Llama-3.1-8B-Instruct::normal_03,meta-llama/Llama-3.1-8B-Instruct,p073,"{""votes"":{""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]],""best_pick"":""A"",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":50},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":-20},{""candidate_id"":""D"",""cents"":30},""absolute_cents_total"":80}}"
