comparison,prompt_id,evaluator_id,any_polarity_changed,any_borda_changed,any_best_pick_changed,all_allocations_exact_same,all_magnitudes_same,allocation_l1_change
anchoring_effect,p001,Qwen/Qwen2.5-7B-Instruct::normal_01,True,True,False,False,False,0.6
anchoring_effect,p001,Qwen/Qwen2.5-7B-Instruct::normal_02,False,True,False,True,True,0.0
anchoring_effect,p001,Qwen/Qwen2.5-7B-Instruct::normal_03,True,True,False,False,False,0.39999999999999997
anchoring_effect,p001,Qwen/Qwen2.5-7B-Instruct::normal_04,False,True,False,False,False,0.19999999999999998
anchoring_effect,p002,Qwen/Qwen2.5-7B-Instruct::normal_01,False,True,False,False,False,0.09999999999999998
anchoring_effect,p002,Qwen/Qwen2.5-7B-Instruct::normal_02,True,True,True,False,False,1.1
anchoring_effect,p002,Qwen/Qwen2.5-7B-Instruct::normal_03,True,True,False,False,False,0.6
anchoring_effect,p002,Qwen/Qwen2.5-7B-Instruct::normal_04,True,True,True,False,False,0.7
anchoring_effect,p003,Qwen/Qwen2.5-7B-Instruct::normal_01,False,False,False,False,False,0.39999999999999997
anchoring_effect,p003,Qwen/Qwen2.5-7B-Instruct::normal_02,True,False,False,False,False,0.39999999999999997
anchoring_effect,p003,Qwen/Qwen2.5-7B-Instruct::normal_03,False,False,False,False,False,0.09999999999999998
anchoring_effect,p003,Qwen/Qwen2.5-7B-Instruct::normal_04,False,False,False,False,False,0.19999999999999998
anchoring_effect,p004,Qwen/Qwen2.5-7B-Instruct::normal_01,True,True,True,False,False,1.7000000000000002
anchoring_effect,p004,Qwen/Qwen2.5-7B-Instruct::normal_02,True,True,False,False,False,0.9999999999999999
anchoring_effect,p004,Qwen/Qwen2.5-7B-Instruct::normal_03,True,True,True,False,False,0.5
anchoring_effect,p005,Qwen/Qwen2.5-7B-Instruct::normal_02,False,True,False,True,True,0.0
anchoring_effect,p005,Qwen/Qwen2.5-7B-Instruct::normal_04,True,True,True,False,False,1.0
anchoring_effect,p006,Qwen/Qwen2.5-7B-Instruct::normal_01,False,False,False,False,False,0.09999999999999998
anchoring_effect,p006,Qwen/Qwen2.5-7B-Instruct::normal_02,True,True,False,False,False,0.6
anchoring_effect,p006,Qwen/Qwen2.5-7B-Instruct::normal_03,True,True,True,False,False,1.5
anchoring_effect,p006,Qwen/Qwen2.5-7B-Instruct::normal_04,True,True,True,False,False,1.3
anchoring_effect,p007,Qwen/Qwen2.5-7B-Instruct::normal_02,True,False,False,False,False,0.7
anchoring_effect,p007,Qwen/Qwen2.5-7B-Instruct::normal_03,False,False,False,True,True,0.0
