candidate_rows,duplicate_score_count,duplicate_score_rate,evaluator_id,prompt_id,unique_scores
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p001,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p001,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p001,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p001,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p002,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p002,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p002,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p002,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p003,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p003,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p003,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p003,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p004,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p004,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p004,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p005,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p005,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p006,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p006,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p006,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p006,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p007,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p007,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p008,4
4,2,0.5,Qwen/Qwen2.5-7B-Instruct::normal_02,p008,2
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p008,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p008,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p009,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p009,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p009,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p009,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p010,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p010,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p010,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p010,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p011,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p011,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p011,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p011,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p012,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p012,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p012,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p012,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p013,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p013,4
