allocation,best_pick_vote,borda_points,candidate_id,domain,evaluator,prompt_id
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_01,p001
0.0,0.0,1.5,B,factual_qa,google/gemma-3-12b-it::normal_01,p001
0.0,0.0,1.5,C,factual_qa,google/gemma-3-12b-it::normal_01,p001
0.0,0.0,0.0,D,factual_qa,google/gemma-3-12b-it::normal_01,p001
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_02,p001
0.0,0.0,1.5,B,factual_qa,google/gemma-3-12b-it::normal_02,p001
0.0,0.0,0.0,C,factual_qa,google/gemma-3-12b-it::normal_02,p001
0.0,0.0,1.5,D,factual_qa,google/gemma-3-12b-it::normal_02,p001
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_03,p001
0.0,0.0,0.0,B,factual_qa,google/gemma-3-12b-it::normal_03,p001
0.0,0.0,1.0,C,factual_qa,google/gemma-3-12b-it::normal_03,p001
0.0,0.0,2.0,D,factual_qa,google/gemma-3-12b-it::normal_03,p001
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_04,p001
0.0,0.0,2.0,B,factual_qa,google/gemma-3-12b-it::normal_04,p001
0.0,0.0,1.0,C,factual_qa,google/gemma-3-12b-it::normal_04,p001
0.0,0.0,0.0,D,factual_qa,google/gemma-3-12b-it::normal_04,p001
0.2,0.0,2.0,A,factual_qa,google/gemma-3-12b-it::normal_01,p002
0.0,0.0,0.0,B,factual_qa,google/gemma-3-12b-it::normal_01,p002
0.7,1.0,3.0,C,factual_qa,google/gemma-3-12b-it::normal_01,p002
0.1,0.0,1.0,D,factual_qa,google/gemma-3-12b-it::normal_01,p002
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_02,p002
0.0,0.0,1.5,B,factual_qa,google/gemma-3-12b-it::normal_02,p002
0.0,0.0,0.0,C,factual_qa,google/gemma-3-12b-it::normal_02,p002
0.0,0.0,1.5,D,factual_qa,google/gemma-3-12b-it::normal_02,p002
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_03,p002
0.0,0.0,1.5,B,factual_qa,google/gemma-3-12b-it::normal_03,p002
0.0,0.0,0.0,C,factual_qa,google/gemma-3-12b-it::normal_03,p002
0.0,0.0,1.5,D,factual_qa,google/gemma-3-12b-it::normal_03,p002
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_04,p002
0.0,0.0,1.5,B,factual_qa,google/gemma-3-12b-it::normal_04,p002
0.0,0.0,0.0,C,factual_qa,google/gemma-3-12b-it::normal_04,p002
0.0,0.0,1.5,D,factual_qa,google/gemma-3-12b-it::normal_04,p002
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_01,p003
0.0,0.0,2.0,B,factual_qa,google/gemma-3-12b-it::normal_01,p003
0.0,0.0,1.0,C,factual_qa,google/gemma-3-12b-it::normal_01,p003
0.0,0.0,0.0,D,factual_qa,google/gemma-3-12b-it::normal_01,p003
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_02,p003
0.0,0.0,1.5,B,factual_qa,google/gemma-3-12b-it::normal_02,p003
0.0,0.0,0.0,C,factual_qa,google/gemma-3-12b-it::normal_02,p003
0.0,0.0,1.5,D,factual_qa,google/gemma-3-12b-it::normal_02,p003
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_03,p003
0.0,0.0,2.0,B,factual_qa,google/gemma-3-12b-it::normal_03,p003
0.0,0.0,1.0,C,factual_qa,google/gemma-3-12b-it::normal_03,p003
0.0,0.0,0.0,D,factual_qa,google/gemma-3-12b-it::normal_03,p003
1.0,1.0,3.0,A,factual_qa,google/gemma-3-12b-it::normal_04,p003
0.0,0.0,1.5,B,factual_qa,google/gemma-3-12b-it::normal_04,p003
0.0,0.0,0.0,C,factual_qa,google/gemma-3-12b-it::normal_04,p003
0.0,0.0,1.5,D,factual_qa,google/gemma-3-12b-it::normal_04,p003
0.1,0.0,1.0,A,factual_qa,google/gemma-3-12b-it::normal_01,p004
0.0,0.0,0.0,B,factual_qa,google/gemma-3-12b-it::normal_01,p004
0.8,1.0,3.0,C,factual_qa,google/gemma-3-12b-it::normal_01,p004
0.1,0.0,2.0,D,factual_qa,google/gemma-3-12b-it::normal_01,p004
0.3,0.0,2.0,A,factual_qa,google/gemma-3-12b-it::normal_02,p004
