domain,method,prompt_id,scores_json,selection,selector_consensus_share,selector_repeats
factual_qa,direct_best_pick,p001,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p001,"{""A"": 3.0, ""B"": 1.25, ""C"": 0.875, ""D"": 0.875}",A,,
factual_qa,direct_signed_allocation,p001,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_best_pick,p002,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A,,
factual_qa,direct_borda,p002,"{""A"": 2.75, ""B"": 1.125, ""C"": 0.75, ""D"": 1.375}",A,,
factual_qa,direct_signed_allocation,p002,"{""A"": 0.8, ""B"": 0.0, ""C"": 0.175, ""D"": 0.025}",A,,
factual_qa,direct_best_pick,p003,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p003,"{""A"": 3.0, ""B"": 1.75, ""C"": 0.5, ""D"": 0.75}",A,,
factual_qa,direct_signed_allocation,p003,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_best_pick,p004,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.5, ""D"": 0.25}",C,,
factual_qa,direct_borda,p004,"{""A"": 1.75, ""B"": 1.125, ""C"": 1.5, ""D"": 1.625}",A,,
factual_qa,direct_signed_allocation,p004,"{""A"": 0.375, ""B"": 0.07500000000000001, ""C"": 0.375, ""D"": 0.175}","TIE:A,C",,
reasoning,direct_best_pick,p005,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A,,
reasoning,direct_borda,p005,"{""A"": 2.75, ""B"": 0.875, ""C"": 0.75, ""D"": 1.625}",A,,
reasoning,direct_signed_allocation,p005,"{""A"": 0.825, ""B"": 0.0, ""C"": 0.025, ""D"": 0.15}",A,,
reasoning,direct_best_pick,p006,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.0, ""D"": 0.75}",D,,
reasoning,direct_borda,p006,"{""A"": 0.75, ""B"": 1.875, ""C"": 1.125, ""D"": 2.25}",D,,
reasoning,direct_signed_allocation,p006,"{""A"": 0.008333333333333318, ""B"": 0.025, ""C"": 0.025, ""D"": 0.45833333333333337}",D,,
reasoning,direct_best_pick,p007,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_borda,p007,"{""A"": 3.0, ""B"": 1.625, ""C"": 1.375, ""D"": 0.0}",A,,
reasoning,direct_signed_allocation,p007,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_best_pick,p008,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_borda,p008,"{""A"": 3.0, ""B"": 1.5, ""C"": 1.0, ""D"": 0.5}",A,,
reasoning,direct_signed_allocation,p008,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
writing,direct_best_pick,p009,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
writing,direct_borda,p009,"{""A"": 3.0, ""B"": 1.0, ""C"": 1.0, ""D"": 1.0}",A,,
writing,direct_signed_allocation,p009,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
writing,direct_best_pick,p010,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
writing,direct_borda,p010,"{""A"": 3.0, ""B"": 1.75, ""C"": 0.0, ""D"": 1.25}",A,,
writing,direct_signed_allocation,p010,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
writing,direct_best_pick,p011,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
writing,direct_borda,p011,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.75, ""D"": 0.25}",A,,
writing,direct_signed_allocation,p011,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
writing,direct_best_pick,p012,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.75, ""D"": 0.0}",C,,
writing,direct_borda,p012,"{""A"": 1.25, ""B"": 1.25, ""C"": 2.5, ""D"": 1.0}",C,,
writing,direct_signed_allocation,p012,"{""A"": 0.3, ""B"": 0.025, ""C"": 0.6, ""D"": 0.07500000000000001}",C,,
safety,direct_best_pick,p013,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
safety,direct_borda,p013,"{""A"": 3.0, ""B"": 1.875, ""C"": 0.0, ""D"": 1.125}",A,,
safety,direct_signed_allocation,p013,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
safety,direct_best_pick,p014,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
safety,direct_borda,p014,"{""A"": 3.0, ""B"": 1.75, ""C"": 0.5, ""D"": 0.75}",A,,
safety,direct_signed_allocation,p014,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
safety,direct_best_pick,p015,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
safety,direct_borda,p015,"{""A"": 3.0, ""B"": 1.75, ""C"": 1.0, ""D"": 0.25}",A,,
safety,direct_signed_allocation,p015,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
safety,direct_best_pick,p016,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
safety,direct_borda,p016,"{""A"": 3.0, ""B"": 1.625, ""C"": 0.5, ""D"": 0.875}",A,,
safety,direct_signed_allocation,p016,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_best_pick,p017,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_borda,p017,"{""A"": 3.0, ""B"": 2.0, ""C"": 1.0, ""D"": 0.0}",A,,
code,direct_signed_allocation,p017,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_best_pick,p018,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_borda,p018,"{""A"": 3.0, ""B"": 1.125, ""C"": 0.75, ""D"": 1.125}",A,,
code,direct_signed_allocation,p018,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_best_pick,p019,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.5, ""D"": 0.0}","TIE:A,C",,
code,direct_borda,p019,"{""A"": 2.5, ""B"": 1.0, ""C"": 2.0, ""D"": 0.5}",A,,
code,direct_signed_allocation,p019,"{""A"": 0.6363636363636364, ""B"": -0.045454545454545456, ""C"": 0.2727272727272727, ""D"": 0.045454545454545456}",A,,
code,direct_best_pick,p020,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_borda,p020,"{""A"": 3.0, ""B"": 1.5, ""C"": 1.0, ""D"": 0.5}",A,,
code,direct_signed_allocation,p020,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
business_advice,direct_best_pick,p021,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A,,
business_advice,direct_borda,p021,"{""A"": 2.75, ""B"": 1.5, ""C"": 1.0, ""D"": 0.75}",A,,
business_advice,direct_signed_allocation,p021,"{""A"": 0.825, ""B"": 0.0, ""C"": 0.025, ""D"": 0.15}",A,,
business_advice,direct_best_pick,p022,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
business_advice,direct_borda,p022,"{""A"": 3.0, ""B"": 2.0, ""C"": 1.0, ""D"": 0.0}",A,,
business_advice,direct_signed_allocation,p022,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
business_advice,direct_best_pick,p023,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
business_advice,direct_borda,p023,"{""A"": 3.0, ""B"": 1.625, ""C"": 0.25, ""D"": 1.125}",A,,
business_advice,direct_signed_allocation,p023,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
business_advice,direct_best_pick,p024,"{""A"": 0.0, ""B"": 0.0, ""C"": 0.5, ""D"": 0.5}","TIE:C,D",,
business_advice,direct_borda,p024,"{""A"": 0.5, ""B"": 1.5, ""C"": 1.75, ""D"": 2.25}",D,,
business_advice,direct_signed_allocation,p024,"{""A"": 0.075, ""B"": 0.15000000000000002, ""C"": 0.4125, ""D"": 0.36250000000000004}",C,,
instruction_following,direct_best_pick,p025,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_borda,p025,"{""A"": 3.0, ""B"": 2.0, ""C"": 1.0, ""D"": 0.0}",A,,
instruction_following,direct_signed_allocation,p025,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_best_pick,p026,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_borda,p026,"{""A"": 3.0, ""B"": 1.625, ""C"": 0.0, ""D"": 1.375}",A,,
instruction_following,direct_signed_allocation,p026,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
analysis,direct_best_pick,p027,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
analysis,direct_borda,p027,"{""A"": 3.0, ""B"": 1.5, ""C"": 0.5, ""D"": 1.0}",A,,
analysis,direct_signed_allocation,p027,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
analysis,direct_best_pick,p028,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
analysis,direct_borda,p028,"{""A"": 3.0, ""B"": 1.5, ""C"": 0.5, ""D"": 1.0}",A,,
analysis,direct_signed_allocation,p028,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
ethics_policy,direct_best_pick,p029,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A,,
ethics_policy,direct_borda,p029,"{""A"": 2.25, ""B"": 1.5, ""C"": 0.5, ""D"": 1.75}",A,,
ethics_policy,direct_signed_allocation,p029,"{""A"": 0.75, ""B"": 0.05, ""C"": 0.025, ""D"": 0.175}",A,,
ethics_policy,direct_best_pick,p030,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
ethics_policy,direct_borda,p030,"{""A"": 3.0, ""B"": 1.375, ""C"": 0.0, ""D"": 1.625}",A,,
ethics_policy,direct_signed_allocation,p030,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_best_pick,p031,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p031,"{""A"": 3.0, ""B"": 2.0, ""C"": 1.0, ""D"": 0.0}",A,,
factual_qa,direct_signed_allocation,p031,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_best_pick,p032,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.0, ""D"": 0.5}","TIE:A,D",,
reasoning,direct_borda,p032,"{""A"": 2.25, ""B"": 1.25, ""C"": 0.625, ""D"": 1.875}",A,,
reasoning,direct_signed_allocation,p032,"{""A"": 0.6, ""B"": 0.05, ""C"": 0.05, ""D"": 0.3}",A,,
writing,direct_best_pick,p033,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.25, ""D"": 0.5}",D,,
writing,direct_borda,p033,"{""A"": 1.75, ""B"": 0.0, ""C"": 2.0, ""D"": 2.25}",D,,
writing,direct_signed_allocation,p033,"{""A"": 0.35000000000000003, ""B"": -0.025, ""C"": 0.2625, ""D"": 0.3625}",D,,
safety,direct_best_pick,p034,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
safety,direct_borda,p034,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.75, ""D"": 0.25}",A,,
safety,direct_signed_allocation,p034,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_best_pick,p035,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_borda,p035,"{""A"": 3.0, ""B"": 1.375, ""C"": 0.75, ""D"": 0.875}",A,,
code,direct_signed_allocation,p035,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
business_advice,direct_best_pick,p036,"{""A"": 0.25, ""B"": 0.75, ""C"": 0.0, ""D"": 0.0}",B,,
business_advice,direct_borda,p036,"{""A"": 1.875, ""B"": 2.75, ""C"": 1.375, ""D"": 0.0}",B,,
business_advice,direct_signed_allocation,p036,"{""A"": 0.35, ""B"": 0.55, ""C"": 0.0625, ""D"": 0.037500000000000006}",B,,
instruction_following,direct_best_pick,p037,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_borda,p037,"{""A"": 3.0, ""B"": 1.5, ""C"": 1.25, ""D"": 0.25}",A,,
instruction_following,direct_signed_allocation,p037,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_best_pick,p038,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_borda,p038,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.5, ""D"": 0.5}",A,,
instruction_following,direct_signed_allocation,p038,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_best_pick,p039,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_borda,p039,"{""A"": 3.0, ""B"": 1.25, ""C"": 1.75, ""D"": 0.0}",A,,
instruction_following,direct_signed_allocation,p039,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
analysis,direct_best_pick,p040,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.0, ""D"": 0.5}","TIE:A,D",,
analysis,direct_borda,p040,"{""A"": 2.5, ""B"": 1.125, ""C"": 0.5, ""D"": 1.875}",A,,
analysis,direct_signed_allocation,p040,"{""A"": 0.6, ""B"": 0.0375, ""C"": 0.025, ""D"": 0.3375}",A,,
analysis,direct_best_pick,p041,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A,,
analysis,direct_borda,p041,"{""A"": 2.75, ""B"": 1.125, ""C"": 0.875, ""D"": 1.25}",A,,
analysis,direct_signed_allocation,p041,"{""A"": 0.796875, ""B"": -0.015625, ""C"": -0.03125, ""D"": 0.15625}",A,,
analysis,direct_best_pick,p042,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
analysis,direct_borda,p042,"{""A"": 3.0, ""B"": 1.625, ""C"": 0.0, ""D"": 1.375}",A,,
analysis,direct_signed_allocation,p042,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
ethics_policy,direct_best_pick,p043,"{""A"": 0.0, ""B"": 0.0, ""C"": 0.5, ""D"": 0.5}","TIE:C,D",,
ethics_policy,direct_borda,p043,"{""A"": 1.0, ""B"": 0.25, ""C"": 2.5, ""D"": 2.25}",C,,
ethics_policy,direct_signed_allocation,p043,"{""A"": 0.11818181818181818, ""B"": -0.07272727272727272, ""C"": 0.4363636363636364, ""D"": 0.3727272727272727}",C,,
ethics_policy,direct_best_pick,p044,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
ethics_policy,direct_borda,p044,"{""A"": 3.0, ""B"": 1.5, ""C"": 0.0, ""D"": 1.5}",A,,
ethics_policy,direct_signed_allocation,p044,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
ethics_policy,direct_best_pick,p045,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.0, ""D"": 0.75}",D,,
ethics_policy,direct_borda,p045,"{""A"": 1.25, ""B"": 1.25, ""C"": 1.25, ""D"": 2.25}",D,,
ethics_policy,direct_signed_allocation,p045,"{""A"": 0.35, ""B"": 0.0, ""C"": 0.05, ""D"": 0.6000000000000001}",D,,
factual_qa,direct_best_pick,p046,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p046,"{""A"": 3.0, ""B"": 1.625, ""C"": 0.25, ""D"": 1.125}",A,,
factual_qa,direct_signed_allocation,p046,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_best_pick,p047,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.75, ""D"": 0.0}",C,,
factual_qa,direct_borda,p047,"{""A"": 1.0, ""B"": 1.0, ""C"": 2.5, ""D"": 1.5}",C,,
factual_qa,direct_signed_allocation,p047,"{""A"": 0.25, ""B"": 0.05, ""C"": 0.675, ""D"": 0.025}",C,,
factual_qa,direct_best_pick,p048,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p048,"{""A"": 3.0, ""B"": 1.0, ""C"": 1.5, ""D"": 0.5}",A,,
factual_qa,direct_signed_allocation,p048,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_best_pick,p049,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p049,"{""A"": 3.0, ""B"": 1.75, ""C"": 0.25, ""D"": 1.0}",A,,
factual_qa,direct_signed_allocation,p049,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_best_pick,p050,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p050,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.25, ""D"": 0.75}",A,,
factual_qa,direct_signed_allocation,p050,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_best_pick,p051,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p051,"{""A"": 3.0, ""B"": 1.75, ""C"": 0.5, ""D"": 0.75}",A,,
factual_qa,direct_signed_allocation,p051,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_best_pick,p052,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A,,
reasoning,direct_borda,p052,"{""A"": 2.75, ""B"": 0.625, ""C"": 1.875, ""D"": 0.75}",A,,
reasoning,direct_signed_allocation,p052,"{""A"": 0.8, ""B"": 0.0, ""C"": 0.175, ""D"": 0.025}",A,,
reasoning,direct_best_pick,p053,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_borda,p053,"{""A"": 3.0, ""B"": 1.75, ""C"": 1.25, ""D"": 0.0}",A,,
reasoning,direct_signed_allocation,p053,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_best_pick,p054,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A,,
reasoning,direct_borda,p054,"{""A"": 2.25, ""B"": 1.75, ""C"": 1.25, ""D"": 0.75}",A,,
reasoning,direct_signed_allocation,p054,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A,,
reasoning,direct_best_pick,p055,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_borda,p055,"{""A"": 3.0, ""B"": 1.625, ""C"": 1.375, ""D"": 0.0}",A,,
