prompt_id,method,hidden_winners,hidden_winner_count,n_paired_ballots,visible_winners,visible_winner_count,winner_changed
p001,best_pick,A,1,4,A,1,False
p001,borda,A,1,4,A,1,False
p001,absolute_allocation,A,1,4,A,1,False
p002,best_pick,C,1,4,D,1,True
p002,borda,A,1,4,A,1,False
p002,absolute_allocation,A,1,4,A,1,False
p003,best_pick,A,1,4,A,1,False
p003,borda,A,1,4,A,1,False
p003,absolute_allocation,A,1,4,A,1,False
p004,best_pick,"A,B,D",3,3,A,1,True
p004,borda,C,1,3,B,1,True
p004,absolute_allocation,A,1,3,A,1,False
p005,best_pick,B,1,3,A,1,True
p005,borda,B,1,3,A,1,True
p005,absolute_allocation,A,1,3,A,1,False
p006,best_pick,A,1,4,B,1,True
p006,borda,B,1,4,B,1,False
p006,absolute_allocation,A,1,4,B,1,True
p007,best_pick,A,1,4,"A,B",2,True
p007,borda,A,1,4,B,1,True
p007,absolute_allocation,A,1,4,B,1,True
p008,best_pick,A,1,4,A,1,False
p008,borda,A,1,4,A,1,False
p008,absolute_allocation,A,1,4,A,1,False
p009,best_pick,A,1,4,A,1,False
p009,borda,A,1,4,A,1,False
p009,absolute_allocation,A,1,4,A,1,False
p010,best_pick,C,1,4,C,1,False
p010,borda,C,1,4,B,1,True
p010,absolute_allocation,D,1,4,B,1,True
p011,best_pick,C,1,3,C,1,False
p011,borda,C,1,3,C,1,False
p011,absolute_allocation,C,1,3,C,1,False
p012,best_pick,D,1,4,D,1,False
p012,borda,D,1,4,D,1,False
p012,absolute_allocation,D,1,4,D,1,False
p013,best_pick,A,1,4,"C,D",2,True
p013,borda,A,1,4,D,1,True
p013,absolute_allocation,A,1,4,A,1,False
p014,best_pick,C,1,4,A,1,True
p014,borda,C,1,4,A,1,True
p014,absolute_allocation,A,1,4,A,1,False
p015,best_pick,D,1,4,A,1,True
p015,borda,"A,B",2,4,A,1,True
p015,absolute_allocation,A,1,4,A,1,False
p016,best_pick,"B,D",2,2,B,1,True
p016,borda,B,1,2,B,1,False
p016,absolute_allocation,B,1,2,B,1,False
p017,best_pick,"A,D",2,4,A,1,True
p017,borda,A,1,4,A,1,False
p017,absolute_allocation,D,1,4,A,1,True
p018,best_pick,A,1,4,A,1,False
p018,borda,A,1,4,A,1,False
p018,absolute_allocation,A,1,4,A,1,False
p019,best_pick,A,1,4,A,1,False
p019,borda,A,1,4,A,1,False
p019,absolute_allocation,A,1,4,A,1,False
p020,best_pick,A,1,4,B,1,True
p020,borda,A,1,4,B,1,True
p020,absolute_allocation,A,1,4,A,1,False
p021,best_pick,A,1,4,A,1,False
p021,borda,A,1,4,A,1,False
p021,absolute_allocation,A,1,4,A,1,False
p022,best_pick,A,1,4,A,1,False
p022,borda,A,1,4,A,1,False
p022,absolute_allocation,A,1,4,A,1,False
p023,best_pick,A,1,4,A,1,False
p023,borda,A,1,4,A,1,False
p023,absolute_allocation,A,1,4,A,1,False
p024,best_pick,B,1,4,A,1,True
p024,borda,B,1,4,A,1,True
p024,absolute_allocation,B,1,4,A,1,True
p025,best_pick,A,1,4,A,1,False
p025,borda,A,1,4,A,1,False
p025,absolute_allocation,A,1,4,A,1,False
p026,best_pick,A,1,4,A,1,False
p026,borda,A,1,4,A,1,False
p026,absolute_allocation,A,1,4,A,1,False
p027,best_pick,A,1,4,A,1,False
p027,borda,A,1,4,A,1,False
p027,absolute_allocation,A,1,4,B,1,True
p028,best_pick,B,1,4,B,1,False
p028,borda,B,1,4,B,1,False
p028,absolute_allocation,B,1,4,B,1,False
p029,best_pick,D,1,4,D,1,False
p029,borda,D,1,4,D,1,False
p029,absolute_allocation,A,1,4,A,1,False
p030,best_pick,"B,C",2,4,A,1,True
p030,borda,B,1,4,A,1,True
p030,absolute_allocation,A,1,4,A,1,False
p031,best_pick,D,1,4,D,1,False
p031,borda,D,1,4,D,1,False
p031,absolute_allocation,D,1,4,D,1,False
p032,best_pick,B,1,4,D,1,True
p032,borda,D,1,4,D,1,False
p032,absolute_allocation,"B,D",2,4,D,1,True
p033,best_pick,"A,C",2,4,"A,C",2,False
p033,borda,C,1,4,C,1,False
p033,absolute_allocation,A,1,4,A,1,False
p034,best_pick,C,1,4,B,1,True
p034,borda,A,1,4,B,1,True
p034,absolute_allocation,A,1,4,A,1,False
p035,best_pick,A,1,4,A,1,False
p035,borda,A,1,4,A,1,False
p035,absolute_allocation,A,1,4,A,1,False
p036,best_pick,A,1,3,A,1,False
p036,borda,D,1,3,A,1,True
p036,absolute_allocation,A,1,3,A,1,False
p037,best_pick,"A,B,C",3,3,A,1,True
p037,borda,A,1,3,A,1,False
p037,absolute_allocation,A,1,3,A,1,False
p038,best_pick,"A,C",2,4,A,1,True
p038,borda,A,1,4,A,1,False
p038,absolute_allocation,A,1,4,A,1,False
p039,best_pick,A,1,4,A,1,False
p039,borda,A,1,4,A,1,False
p039,absolute_allocation,A,1,4,A,1,False
p040,best_pick,"A,B,C,D",4,4,A,1,True
p040,borda,A,1,4,A,1,False
p040,absolute_allocation,A,1,4,A,1,False
p041,best_pick,C,1,4,"A,C",2,True
p041,borda,C,1,4,A,1,True
p041,absolute_allocation,C,1,4,C,1,False
p042,best_pick,A,1,3,A,1,False
p042,borda,A,1,3,A,1,False
p042,absolute_allocation,A,1,3,A,1,False
p043,best_pick,"A,B,C,D",4,4,A,1,True
p043,borda,"A,B",2,4,A,1,True
p043,absolute_allocation,A,1,4,A,1,False
p044,best_pick,A,1,4,A,1,False
p044,borda,A,1,4,A,1,False
p044,absolute_allocation,A,1,4,A,1,False
p045,best_pick,B,1,4,A,1,True
p045,borda,A,1,4,A,1,False
p045,absolute_allocation,A,1,4,A,1,False
p046,best_pick,"A,C",2,4,A,1,True
p046,borda,A,1,4,A,1,False
p046,absolute_allocation,A,1,4,A,1,False
p047,best_pick,C,1,4,D,1,True
p047,borda,C,1,4,D,1,True
p047,absolute_allocation,C,1,4,D,1,True
p048,best_pick,A,1,3,A,1,False
p048,borda,A,1,3,A,1,False
p048,absolute_allocation,A,1,3,A,1,False
p049,best_pick,D,1,4,"A,B,C,D",4,True
p049,borda,B,1,4,A,1,True
p049,absolute_allocation,"A,B",2,4,A,1,True
p050,best_pick,A,1,3,B,1,True
p050,borda,A,1,3,B,1,True
p050,absolute_allocation,A,1,3,B,1,True
p051,best_pick,A,1,4,A,1,False
p051,borda,A,1,4,A,1,False
p051,absolute_allocation,A,1,4,A,1,False
p052,best_pick,A,1,4,A,1,False
p052,borda,A,1,4,A,1,False
p052,absolute_allocation,A,1,4,A,1,False
p053,best_pick,A,1,4,A,1,False
p053,borda,A,1,4,A,1,False
p053,absolute_allocation,A,1,4,A,1,False
p054,best_pick,C,1,4,C,1,False
p054,borda,C,1,4,C,1,False
p054,absolute_allocation,C,1,4,C,1,False
p055,best_pick,C,1,4,A,1,True
p055,borda,C,1,4,A,1,True
p055,absolute_allocation,C,1,4,A,1,True
p056,best_pick,A,1,4,"A,D",2,True
p056,borda,A,1,4,B,1,True
p056,absolute_allocation,B,1,4,B,1,False
p057,best_pick,"A,B,D",3,3,A,1,True
p057,borda,A,1,3,A,1,False
p057,absolute_allocation,A,1,3,A,1,False
p058,best_pick,C,1,3,A,1,True
p058,borda,C,1,3,A,1,True
p058,absolute_allocation,C,1,3,A,1,True
p059,best_pick,D,1,4,A,1,True
p059,borda,B,1,4,A,1,True
p059,absolute_allocation,A,1,4,A,1,False
p060,best_pick,A,1,3,A,1,False
p060,borda,A,1,3,A,1,False
p060,absolute_allocation,A,1,3,A,1,False
p061,best_pick,A,1,4,A,1,False
p061,borda,A,1,4,A,1,False
p061,absolute_allocation,A,1,4,A,1,False
p062,best_pick,A,1,3,"A,B,D",3,True
p062,borda,A,1,3,"A,B",2,True
p062,absolute_allocation,A,1,3,A,1,False
p063,best_pick,"A,C",2,4,C,1,True
p063,borda,C,1,4,A,1,True
p063,absolute_allocation,A,1,4,A,1,False
p064,best_pick,A,1,3,A,1,False
p064,borda,A,1,3,A,1,False
p064,absolute_allocation,A,1,3,A,1,False
p065,best_pick,A,1,3,A,1,False
p065,borda,A,1,3,A,1,False
p065,absolute_allocation,A,1,3,B,1,True
p066,best_pick,C,1,4,C,1,False
p066,borda,C,1,4,C,1,False
p066,absolute_allocation,B,1,4,A,1,True
p067,best_pick,B,1,4,B,1,False
p067,borda,B,1,4,B,1,False
p067,absolute_allocation,B,1,4,B,1,False
p068,best_pick,C,1,3,A,1,True
p068,borda,C,1,3,A,1,True
p068,absolute_allocation,A,1,3,A,1,False
p069,best_pick,B,1,3,A,1,True
p069,borda,B,1,3,A,1,True
p069,absolute_allocation,B,1,3,B,1,False
p070,best_pick,A,1,4,A,1,False
p070,borda,A,1,4,A,1,False
p070,absolute_allocation,A,1,4,A,1,False
p071,best_pick,A,1,4,A,1,False
p071,borda,A,1,4,A,1,False
p071,absolute_allocation,A,1,4,A,1,False
p072,best_pick,A,1,4,A,1,False
p072,borda,A,1,4,A,1,False
p072,absolute_allocation,A,1,4,A,1,False
p073,best_pick,"A,C",2,4,A,1,True
p073,borda,A,1,4,A,1,False
p073,absolute_allocation,A,1,4,A,1,False
p074,best_pick,A,1,4,"A,B",2,True
p074,borda,A,1,4,B,1,True
p074,absolute_allocation,A,1,4,B,1,True
p075,best_pick,B,1,4,A,1,True
p075,borda,B,1,4,A,1,True
p075,absolute_allocation,B,1,4,A,1,True
p076,best_pick,B,1,4,B,1,False
p076,borda,B,1,4,B,1,False
p076,absolute_allocation,B,1,4,A,1,True
p077,best_pick,C,1,4,A,1,True
p077,borda,B,1,4,"A,B",2,True
p077,absolute_allocation,B,1,4,A,1,True
p078,best_pick,A,1,4,A,1,False
p078,borda,A,1,4,A,1,False
