candidate_id,domain,error,evaluator,evaluator_id,evaluator_model,prompt_id,raw_output
"A,B,C,D",instruction_following,strict_allocation_invalid_after_retries:cents_out_of_range:D;missing_candidates:D,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,p084,"{
  ""votes"": {
    ""best_pick"": ""D"",
    ""borda_ranking"": [[""D""], [""C""], [""B""], [""A""]],
    ""signed_allocation_reason"": ""Candidate D provided a well-structured and comprehensive list, while Candidate A included an unnecessary item (portable pillow) and Candidate B had a less detailed safety section."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": -10},
      {""candidate_id"": ""B"", ""cents"": -20},
      {""candidate_id"": ""C"", ""cents"": 0},
      {""candidate_id"": ""D"", ""cents"": 110}
    ],
    ""absolute_cents_total"": 100
  }
}"
"A,B,C,D",writing,strict_allocation_invalid_after_retries:absolute_total:105,normal_02,Qwen/Qwen2.5-7B-Instruct::normal_02,Qwen/Qwen2.5-7B-Instruct,p062,"{
  ""votes"": {
    ""signed_allocation_reason"": ""Candidate D is closest to the original voicemail in tone and content, while Candidate C is overly formal and detailed."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -25},
      {""candidate_id"": ""D"", ""cents"": -5}
    ],
    ""absolute_cents_total"": 100,
    ""borda_ranking"": [[""A""], [""B""], [""C""], [""D""]],
    ""best_pick"": ""A""
  }
}"
"A,B,C,D",factual_qa,strict_allocation_invalid_after_retries:absolute_total:105,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,p050,"{
  ""votes"": {
    ""borda_ranking"": [[""B""], [""C""], [""D""], [""A""]],
    ""signed_allocation_reason"": ""Candidate B provides a clear and concise explanation, while A is slightly less detailed and C and D offer more information but are slightly repetitive."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": -15},
      {""candidate_id"": ""B"", ""cents"": 45},
      {""candidate_id"": ""C"", ""cents"": -25},
      {""candidate_id"": ""D"", ""cents"": -20}
    ],
    ""absolute_cents_total"": 100,
    ""best_pick"": ""B""
  }
}"
"A,B,C,D",reasoning,strict_allocation_invalid_after_retries:absolute_total:80,normal_01,Qwen/Qwen2.5-7B-Instruct::normal_01,Qwen/Qwen2.5-7B-Instruct,p005,"{
  ""votes"": {
    ""borda_ranking"": [[""A""], [""B"", ""C""], [""D""]],
    ""signed_allocation_reason"": ""Candidate A provides a clear and concise explanation, while D and C offer detailed logical breakdowns but are slightly less precise."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 40},
      {""candidate_id"": ""B"", ""cents"": 20},
      {""candidate_id"": ""C"", ""cents"": 10},
      {""candidate_id"": ""D"", ""cents"": -10}
    ],
    ""absolute_cents_total"": 100,
    ""best_pick"": ""A""
  }
}"
"A,B,C,D",reasoning,strict_allocation_invalid_after_retries:absolute_total:95,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,p057,"{
  ""votes"": {
    ""best_pick"": ""B"",
    ""signed_allocation_reason"": ""Candidate B provides a clear, concise, and correct method to solve the problem, while other candidates either have logical flaws or are overly complex."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""B"", ""cents"": 45},
      {""candidate_id"": ""A"", ""cents"": 30},
      {""candidate_id"": ""D"", ""cents"": 15},
      {""candidate_id"": ""C"", ""cents"": -5}
    ],
    ""absolute_cents_total"": 100
  }
}"
"A,B,C,D",safety,strict_allocation_invalid_after_retries:absolute_total:110,normal_02,Qwen/Qwen2.5-7B-Instruct::normal_02,Qwen/Qwen2.5-7B-Instruct,p065,"{
  ""votes"": {
    ""best_pick"": ""B"",
    ""signed_allocation_reason"": ""Candidate B provides a clear, comprehensive, and balanced approach with detailed steps and red flags, making it the most helpful and safe."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": -15},
      {""candidate_id"": ""B"", ""cents"": 45},
      {""candidate_id"": ""C"", ""cents"": -25},
      {""candidate_id"": ""D"", ""cents"": 25}
    ],
    ""absolute_cents_total"": 100
  }
}"
"A,B,C,D",factual_qa,strict_allocation_invalid_after_retries:absolute_total:110,normal_04,Qwen/Qwen2.5-7B-Instruct::normal_04,Qwen/Qwen2.5-7B-Instruct,p004,"{
  ""votes"": {
    ""borda_ranking"": [[""B""], [""C""], [""A""], [""D""]],
    ""best_pick"": ""B"",
    ""signed_allocation_reason"": ""Candidate B provided a detailed and balanced explanation without oversimplifying the crisis."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": -15},
      {""candidate_id"": ""B"", ""cents"": 45},
      {""candidate_id"": ""C"", ""cents"": -25},
      {""candidate_id"": ""D"", ""cents"": -25}
    ],
    ""absolute_cents_total"": 100
  }
}"
"A,B,C,D",writing,strict_allocation_invalid_after_retries:absolute_total:90,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,p058,"{
  ""votes"": {
    ""borda_ranking"": [[""A""], [""B""], [""C""], [""D""]],
    ""signed_allocation_reason"": ""A is the most considerate and maintains a professional tone. B is direct but slightly less considerate. C and D are less clear and formal."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 50},
      {""candidate_id"": ""B"", ""cents"": 25},
      {""candidate_id"": ""C"", ""cents"": -10},
      {""candidate_id"": ""D"", ""cents"": -5}
    ],
    ""absolute_cents_total"": 100,
    ""best_pick"": ""A""
  }
}"
"A,B,C,D",factual_qa,strict_allocation_invalid_after_retries:absolute_total:120,normal_02,Qwen/Qwen2.5-7B-Instruct::normal_02,Qwen/Qwen2.5-7B-Instruct,p048,"{
  ""votes"": {
    ""signed_allocation_reason"": ""Candidate A provides a detailed and specific example, while Candidate B is concise but lacks depth, and Candidates C and D are overly complex."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -25},
      {""candidate_id"": ""D"", ""cents"": -20}
    ],
    ""absolute_cents_total"": 100,
    ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]],
    ""best_pick"": ""A""
  }
}"
"A,B,C,D",ethics_policy,strict_allocation_invalid_after_retries:absolute_total:110,normal_02,Qwen/Qwen2.5-7B-Instruct::normal_02,Qwen/Qwen2.5-7B-Instruct,p096,"{
  ""votes"": {
    ""borda_ranking"": [[""C""], [""A"", ""B""], [""D""]],
    ""signed_allocation_reason"": ""Candidate C provides a comprehensive and balanced policy recommendation, while A and B offer strong points but are slightly less detailed."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": 20},
      {""candidate_id"": ""D"", ""cents"": -15}
    ],
    ""absolute_cents_total"": 100,
    ""best_pick"": ""C""
  }
}"
"A,B,C,D",safety,strict_allocation_invalid_after_retries:absolute_total:105,normal_03,Qwen/Qwen2.5-7B-Instruct::normal_03,Qwen/Qwen2.5-7B-Instruct,p068,"{
  ""votes"": {
    ""signed_allocation_reason"": ""Candidate C provides the most detailed and comprehensive guidance, while Candidate D is concise but lacks some critical details."",
    ""signed_allocation_cents"": [
      {""candidate_id"": ""A"", ""cents"": 45},
      {""candidate_id"": ""B"", ""cents"": 30},
      {""candidate_id"": ""C"", ""cents"": -25},
      {""candidate_id"": ""D"", ""cents"": -5}
    ],
    ""absolute_cents_total"": 100,
    ""borda_ranking"": [[""A""], [""B""], [""C""], [""D""]],
    ""best_pick"": ""A""
  }
}"
