allocation_recovered_from_invalid,allocation_retry_count,ballot_id,ballot_index,baseline_replicate_index,condition,direction,effective_strength,fresh_baseline_bottom_candidate_id,fresh_baseline_top_candidate_id,intervention,parse_error,raw_absolute_total,raw_output,strength,strict_allocation_errors_json,strict_allocation_valid,target_candidate_id,target_display_id,target_fresh_baseline_rank,target_policy
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,,baseline,,,,,baseline,strict_allocation_invalid_recovered:absolute_total:112;absolute_cents_total_not_numeric,112.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates C and D lack some detail and clarity, and Candidate B has minor errors in percentage calculations."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -12}
        ],
    },
    ""absolute_cents_total"": 100
}",,"[""absolute_total:112"", ""absolute_cents_total_not_numeric""]",False,,,,
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,1.0,baseline_replicate,,,,,baseline_replicate,strict_allocation_invalid_recovered:absolute_total:111;absolute_cents_total_not_numeric,111.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates C and D lack some detail and clarity, and Candidate B has minor inaccuracies in percentage calculations."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -11}
        ],
    },
    ""absolute_cents_total"": 100
}",,"[""absolute_total:111"", ""absolute_cents_total_not_numeric""]",False,,,,
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,2.0,baseline_replicate,,,,,baseline_replicate,strict_allocation_invalid_recovered:absolute_total:111,111.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates C and D lack some detail and clarity, and Candidate B has minor errors in percentage calculations."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -11}
        ],
        ""absolute_cents_total"": 100
    },
    ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]],
    ""best_pick"": ""A""
}",,"[""absolute_total:111""]",False,,,,
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,,steered,help,2.329837564084054,C,A,help_to_bottom,strict_allocation_invalid_recovered:absolute_total:111,111.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates C and D lack some detail and clarity, and Candidate B has minor calculation errors."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -11}
        ],
        ""absolute_cents_total"": 100
    },
    ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]],
    ""best_pick"": ""A""
}",0.05,"[""absolute_total:111""]",False,C,C,4.0,bottom
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,,steered,help,4.659675128168108,C,A,help_to_bottom,strict_allocation_invalid_recovered:absolute_total:111,111.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates C and D lack some detail and clarity, and Candidate B has minor calculation errors."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -11}
        ],
        ""absolute_cents_total"": 100
    },
    ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]],
    ""best_pick"": ""A""
}",0.1,"[""absolute_total:111""]",False,C,C,4.0,bottom
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,,steered,help,9.319350256336216,C,A,help_to_bottom,strict_allocation_invalid_recovered:absolute_total:115,115.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates B and D offer reasonable but less detailed analyses, and Candidate C's response is somewhat vague and lacks specific numerical details."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -15}
        ],
        ""absolute_cents_total"": 100,
        ""borda_ranking"": [[""A""], [""B""], [""D""], [""C""]],
        ""best_pick"": ""A""
    }
}",0.2,"[""absolute_total:115""]",False,C,C,4.0,bottom
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,,steered,help,2.329837564084054,C,A,help_to_top,strict_allocation_invalid_recovered:absolute_total:111,111.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates C and D lack some detail and clarity, and Candidate B has minor calculation errors."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -11}
        ],
        ""absolute_cents_total"": 100
    },
    ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]],
    ""best_pick"": ""A""
}",0.05,"[""absolute_total:111""]",False,A,A,1.0,top
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,,steered,help,4.659675128168108,C,A,help_to_top,strict_allocation_invalid_recovered:absolute_total:111;absolute_cents_total_not_numeric,111.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates C and D lack some detail and clarity, and Candidate B has minor inaccuracies in percentage calculations."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -11}
        ],
    },
    ""absolute_cents_total"": 100
}",0.1,"[""absolute_total:111"", ""absolute_cents_total_not_numeric""]",False,A,A,1.0,top
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,,steered,help,9.319350256336216,C,A,help_to_top,strict_allocation_invalid_recovered:absolute_total:111,111.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates C and D lack some detail and clarity, and Candidate B has minor calculation errors."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -11}
        ],
        ""absolute_cents_total"": 100
    },
    ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]],
    ""best_pick"": ""A""
}",0.2,"[""absolute_total:111""]",False,A,A,1.0,top
True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,,steered,hurt,2.329837564084054,C,A,hurt_to_bottom,strict_allocation_invalid_recovered:absolute_total:111,111.0,"{
    ""votes"": {
        ""signed_allocation_reason"": ""Candidate A provides clear calculations and plausible explanations, while Candidates C and D lack some detail and clarity, and Candidate B has minor errors in percentage calculations."",
        ""signed_allocation_cents"": [
            {""candidate_id"": ""A"", ""cents"": 45},
            {""candidate_id"": ""B"", ""cents"": 30},
            {""candidate_id"": ""C"", ""cents"": -25},
            {""candidate_id"": ""D"", ""cents"": -11}
        ],
        ""absolute_cents_total"": 100
    },
    ""borda_ranking"": [[""A""], [""B""], [""C"", ""D""]],
    ""best_pick"": ""A""
}",0.05,"[""absolute_total:111""]",False,C,C,4.0,bottom
