candidate_rows,evaluator_id,is_flat,prompt_id,unique_scores
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p001,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p002,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p002,3
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p002,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p003,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p003,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p004,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p004,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p005,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p005,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p005,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p005,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p006,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p006,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p007,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p007,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p007,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p007,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p008,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p008,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p009,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p009,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p011,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p012,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p012,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p012,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p013,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p013,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p013,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p014,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p015,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p015,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p015,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p016,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p017,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p017,3
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p017,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p017,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p018,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p018,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p019,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_01,False,p020,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p020,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p020,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p021,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p021,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p022,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p022,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_03,False,p023,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_04,False,p023,4
4,meta-llama/Llama-3.1-8B-Instruct::normal_02,False,p024,4
