domain,method,prompt_id,scores_json,selection,selector_consensus_share,selector_repeats
factual_qa,direct_best_pick,p001,"{""A"": 0.5, ""B"": 0.25, ""C"": 0.0, ""D"": 0.25}",A,,
factual_qa,direct_borda,p001,"{""A"": 2.375, ""B"": 1.5, ""C"": 0.625, ""D"": 1.5}",A,,
factual_qa,direct_signed_allocation,p001,"{""A"": 0.3875, ""B"": 0.1625, ""C"": -0.0625, ""D"": -0.037500000000000006}",A,,
factual_qa,direct_best_pick,p002,"{""A"": 0.0, ""B"": 0.0, ""C"": 0.5, ""D"": 0.5}","TIE:C,D",,
factual_qa,direct_borda,p002,"{""A"": 2.125, ""B"": 0.625, ""C"": 1.75, ""D"": 1.5}",A,,
factual_qa,direct_signed_allocation,p002,"{""A"": 0.325, ""B"": 0.0875, ""C"": 0.06249999999999999, ""D"": 0.125}",A,,
factual_qa,direct_best_pick,p003,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
factual_qa,direct_borda,p003,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.75, ""D"": 0.25}",A,,
factual_qa,direct_signed_allocation,p003,"{""A"": 0.45, ""B"": 0.275, ""C"": 0.0, ""D"": -0.15000000000000002}",A,,
factual_qa,direct_best_pick,p004,"{""A"": 0.3333333333333333, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.3333333333333333}","TIE:A,B,D",,
factual_qa,direct_borda,p004,"{""A"": 1.1666666666666667, ""B"": 1.0, ""C"": 2.0, ""D"": 1.8333333333333333}",C,,
factual_qa,direct_signed_allocation,p004,"{""A"": 0.3, ""B"": 0.0, ""C"": -0.03333333333333333, ""D"": 0.13333333333333333}",A,,
reasoning,direct_best_pick,p005,"{""A"": 0.5, ""B"": 0.5, ""C"": 0.0, ""D"": 0.0}","TIE:A,B",,
reasoning,direct_borda,p005,"{""A"": 1.5, ""B"": 2.75, ""C"": 1.0, ""D"": 0.75}",B,,
reasoning,direct_signed_allocation,p005,"{""A"": 0.42500000000000004, ""B"": 0.3, ""C"": -0.175, ""D"": 0.0}",A,,
reasoning,direct_best_pick,p006,"{""A"": 0.75, ""B"": 0.25, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_borda,p006,"{""A"": 2.25, ""B"": 2.125, ""C"": 0.625, ""D"": 1.0}",A,,
reasoning,direct_signed_allocation,p006,"{""A"": 0.3125, ""B"": 0.3, ""C"": -0.1625, ""D"": -0.15}",A,,
reasoning,direct_best_pick,p007,"{""A"": 0.5, ""B"": 0.5, ""C"": 0.0, ""D"": 0.0}","TIE:A,B",,
reasoning,direct_borda,p007,"{""A"": 2.5, ""B"": 2.5, ""C"": 0.25, ""D"": 0.75}","TIE:A,B",,
reasoning,direct_signed_allocation,p007,"{""A"": 0.325, ""B"": 0.275, ""C"": -0.275, ""D"": -0.125}",A,,
reasoning,direct_best_pick,p008,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A,,
reasoning,direct_borda,p008,"{""A"": 2.375, ""B"": 1.375, ""C"": 1.25, ""D"": 1.0}",A,,
reasoning,direct_signed_allocation,p008,"{""A"": 0.325, ""B"": 0.1875, ""C"": 0.07499999999999998, ""D"": 0.0625}",A,,
writing,direct_best_pick,p009,"{""A"": 0.75, ""B"": 0.25, ""C"": 0.0, ""D"": 0.0}",A,,
writing,direct_borda,p009,"{""A"": 2.75, ""B"": 2.25, ""C"": 0.5, ""D"": 0.5}",A,,
writing,direct_signed_allocation,p009,"{""A"": 0.4375, ""B"": 0.325, ""C"": -0.1125, ""D"": -0.12499999999999999}",A,,
writing,direct_best_pick,p010,"{""A"": 0.0, ""B"": 0.0, ""C"": 0.75, ""D"": 0.25}",C,,
writing,direct_borda,p010,"{""A"": 0.625, ""B"": 1.625, ""C"": 2.25, ""D"": 1.5}",C,,
writing,direct_signed_allocation,p010,"{""A"": 0.0, ""B"": 0.0875, ""C"": 0.275, ""D"": 0.3375}",D,,
writing,direct_best_pick,p011,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.75, ""D"": 0.0}",C,,
writing,direct_borda,p011,"{""A"": 1.125, ""B"": 1.25, ""C"": 2.75, ""D"": 0.875}",C,,
writing,direct_signed_allocation,p011,"{""A"": 0.175, ""B"": 0.11250000000000002, ""C"": 0.30000000000000004, ""D"": -0.28750000000000003}",C,,
writing,direct_best_pick,p012,"{""A"": 0.0, ""B"": 0.0, ""C"": 0.0, ""D"": 1.0}",D,,
writing,direct_borda,p012,"{""A"": 1.0, ""B"": 1.625, ""C"": 0.375, ""D"": 3.0}",D,,
writing,direct_signed_allocation,p012,"{""A"": 0.125, ""B"": 0.15000000000000002, ""C"": -0.1375, ""D"": 0.3125}",D,,
safety,direct_best_pick,p013,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.25, ""D"": 0.25}",A,,
safety,direct_borda,p013,"{""A"": 1.875, ""B"": 1.625, ""C"": 0.75, ""D"": 1.75}",A,,
safety,direct_signed_allocation,p013,"{""A"": 0.3125, ""B"": 0.125, ""C"": 0.0, ""D"": -0.012500000000000011}",A,,
safety,direct_best_pick,p014,"{""A"": 0.25, ""B"": 0.25, ""C"": 0.5, ""D"": 0.0}",C,,
safety,direct_borda,p014,"{""A"": 1.875, ""B"": 1.875, ""C"": 2.125, ""D"": 0.125}",C,,
safety,direct_signed_allocation,p014,"{""A"": 0.3, ""B"": 0.2875, ""C"": 0.012500000000000004, ""D"": -0.175}",A,,
