prompt_id,evaluator_id,candidate_id
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,A
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,B
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,C
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,D
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,A
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,B
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,C
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,D
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,A
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,B
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,C
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,D
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,A
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,B
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,C
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,D
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,A
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,B
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,C
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,D
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,A
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,B
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,C
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,D
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,A
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,B
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,C
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,D
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,A
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,B
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,C
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,D
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,A
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,B
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,C
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,D
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,A
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,B
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,C
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,D
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,A
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,B
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,C
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,D
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,A
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,B
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,C
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,D
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,A
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,B
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,C
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,D
p004,Qwen/Qwen2.5-7B-Instruct::normal_02,A
p004,Qwen/Qwen2.5-7B-Instruct::normal_02,B
p004,Qwen/Qwen2.5-7B-Instruct::normal_02,C
p004,Qwen/Qwen2.5-7B-Instruct::normal_02,D
p004,Qwen/Qwen2.5-7B-Instruct::normal_03,A
p004,Qwen/Qwen2.5-7B-Instruct::normal_03,B
p004,Qwen/Qwen2.5-7B-Instruct::normal_03,C
p004,Qwen/Qwen2.5-7B-Instruct::normal_03,D
p005,Qwen/Qwen2.5-7B-Instruct::normal_02,A
p005,Qwen/Qwen2.5-7B-Instruct::normal_02,B
p005,Qwen/Qwen2.5-7B-Instruct::normal_02,C
p005,Qwen/Qwen2.5-7B-Instruct::normal_02,D
p005,Qwen/Qwen2.5-7B-Instruct::normal_03,A
p005,Qwen/Qwen2.5-7B-Instruct::normal_03,B
p005,Qwen/Qwen2.5-7B-Instruct::normal_03,C
p005,Qwen/Qwen2.5-7B-Instruct::normal_03,D
p005,Qwen/Qwen2.5-7B-Instruct::normal_04,A
p005,Qwen/Qwen2.5-7B-Instruct::normal_04,B
p005,Qwen/Qwen2.5-7B-Instruct::normal_04,C
p005,Qwen/Qwen2.5-7B-Instruct::normal_04,D
p006,Qwen/Qwen2.5-7B-Instruct::normal_01,A
p006,Qwen/Qwen2.5-7B-Instruct::normal_01,B
p006,Qwen/Qwen2.5-7B-Instruct::normal_01,C
p006,Qwen/Qwen2.5-7B-Instruct::normal_01,D
p006,Qwen/Qwen2.5-7B-Instruct::normal_02,A
p006,Qwen/Qwen2.5-7B-Instruct::normal_02,B
p006,Qwen/Qwen2.5-7B-Instruct::normal_02,C
p006,Qwen/Qwen2.5-7B-Instruct::normal_02,D
p006,Qwen/Qwen2.5-7B-Instruct::normal_03,A
p006,Qwen/Qwen2.5-7B-Instruct::normal_03,B
p006,Qwen/Qwen2.5-7B-Instruct::normal_03,C
p006,Qwen/Qwen2.5-7B-Instruct::normal_03,D
p006,Qwen/Qwen2.5-7B-Instruct::normal_04,A
p006,Qwen/Qwen2.5-7B-Instruct::normal_04,B
p006,Qwen/Qwen2.5-7B-Instruct::normal_04,C
p006,Qwen/Qwen2.5-7B-Instruct::normal_04,D
p007,Qwen/Qwen2.5-7B-Instruct::normal_01,A
p007,Qwen/Qwen2.5-7B-Instruct::normal_01,B
p007,Qwen/Qwen2.5-7B-Instruct::normal_01,C
p007,Qwen/Qwen2.5-7B-Instruct::normal_01,D
p007,Qwen/Qwen2.5-7B-Instruct::normal_02,A
p007,Qwen/Qwen2.5-7B-Instruct::normal_02,B
p007,Qwen/Qwen2.5-7B-Instruct::normal_02,C
p007,Qwen/Qwen2.5-7B-Instruct::normal_02,D
p007,Qwen/Qwen2.5-7B-Instruct::normal_03,A
p007,Qwen/Qwen2.5-7B-Instruct::normal_03,B
p007,Qwen/Qwen2.5-7B-Instruct::normal_03,C
p007,Qwen/Qwen2.5-7B-Instruct::normal_03,D
p007,Qwen/Qwen2.5-7B-Instruct::normal_04,A
p007,Qwen/Qwen2.5-7B-Instruct::normal_04,B
p007,Qwen/Qwen2.5-7B-Instruct::normal_04,C
p007,Qwen/Qwen2.5-7B-Instruct::normal_04,D
p008,Qwen/Qwen2.5-7B-Instruct::normal_01,A
p008,Qwen/Qwen2.5-7B-Instruct::normal_01,B
p008,Qwen/Qwen2.5-7B-Instruct::normal_01,C
p008,Qwen/Qwen2.5-7B-Instruct::normal_01,D
p008,Qwen/Qwen2.5-7B-Instruct::normal_02,A
p008,Qwen/Qwen2.5-7B-Instruct::normal_02,B
p008,Qwen/Qwen2.5-7B-Instruct::normal_02,C
p008,Qwen/Qwen2.5-7B-Instruct::normal_02,D
p008,Qwen/Qwen2.5-7B-Instruct::normal_03,A
p008,Qwen/Qwen2.5-7B-Instruct::normal_03,B
p008,Qwen/Qwen2.5-7B-Instruct::normal_03,C
p008,Qwen/Qwen2.5-7B-Instruct::normal_03,D
p008,Qwen/Qwen2.5-7B-Instruct::normal_04,A
p008,Qwen/Qwen2.5-7B-Instruct::normal_04,B
p008,Qwen/Qwen2.5-7B-Instruct::normal_04,C
p008,Qwen/Qwen2.5-7B-Instruct::normal_04,D
p009,Qwen/Qwen2.5-7B-Instruct::normal_01,A
p009,Qwen/Qwen2.5-7B-Instruct::normal_01,B
p009,Qwen/Qwen2.5-7B-Instruct::normal_01,C
p009,Qwen/Qwen2.5-7B-Instruct::normal_01,D
p009,Qwen/Qwen2.5-7B-Instruct::normal_02,A
p009,Qwen/Qwen2.5-7B-Instruct::normal_02,B
p009,Qwen/Qwen2.5-7B-Instruct::normal_02,C
p009,Qwen/Qwen2.5-7B-Instruct::normal_02,D
p009,Qwen/Qwen2.5-7B-Instruct::normal_03,A
p009,Qwen/Qwen2.5-7B-Instruct::normal_03,B
p009,Qwen/Qwen2.5-7B-Instruct::normal_03,C
p009,Qwen/Qwen2.5-7B-Instruct::normal_03,D
p009,Qwen/Qwen2.5-7B-Instruct::normal_04,A
p009,Qwen/Qwen2.5-7B-Instruct::normal_04,B
p009,Qwen/Qwen2.5-7B-Instruct::normal_04,C
p009,Qwen/Qwen2.5-7B-Instruct::normal_04,D
p010,Qwen/Qwen2.5-7B-Instruct::normal_01,A
p010,Qwen/Qwen2.5-7B-Instruct::normal_01,B
p010,Qwen/Qwen2.5-7B-Instruct::normal_01,C
