candidate_rows,evaluator_id,is_flat,prompt_id,unique_scores
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p001,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p001,4
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p001,4
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p001,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p002,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p002,4
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p002,4
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p002,3
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p003,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p003,3
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p003,3
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p003,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p004,3
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p004,3
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p004,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p005,4
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p005,4
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p005,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p006,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p006,3
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p006,4
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p006,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p007,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p007,3
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p007,4
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p007,3
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p008,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p008,4
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p008,4
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p008,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p009,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p009,4
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p009,3
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p009,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p010,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p010,3
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p010,4
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p010,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p011,4
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p011,4
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p011,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p012,4
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p012,4
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p012,3
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p012,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p013,3
4,Qwen/Qwen2.5-7B-Instruct::normal_02,False,p013,2
4,Qwen/Qwen2.5-7B-Instruct::normal_03,False,p013,3
4,Qwen/Qwen2.5-7B-Instruct::normal_04,False,p013,4
4,Qwen/Qwen2.5-7B-Instruct::normal_01,False,p014,4
