prompt_id,evaluator_id,expected_candidate_rows,extracted_candidate_rows,expected_candidate_ids,extracted_candidate_ids,context_candidate_order,context_order_source,context_mode,ballot_field_order,context_sha256,self_context_sha256,missing_span_ids,possibly_truncated_span_ids,self_answer_extracted,input_token_count,self_input_token_count,self_answer_visible_reference,max_model_len
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,4,4,"A,B,C,D","A,B,C,D","D,A,B,C",exact_voting_display_order,exact_ballot,"best_pick,borda_ranking,signed_allocation",ce92aa8f8cca68d586b1fe468d18610cf69b22891b76619de93fe678257472c5,b3f5449354c82aef9ab701bd89211bdcba320036e65bacf6c863c64f4186b6b9,,,True,1245,320,False,4096
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,4,4,"A,B,C,D","A,B,C,D","B,A,D,C",exact_voting_display_order,exact_ballot,"best_pick,borda_ranking,signed_allocation",c649d88e75f700210a1bb96d104b4ee8c28b8734f87dc1dceb60a7267413a584,760e58844248e0a4fa36719ed387a71e23f9b2229591208bdc1289693bca476e,,,True,1245,265,False,4096
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,4,4,"A,B,C,D","A,B,C,D","C,A,D,B",exact_voting_display_order,exact_ballot,"borda_ranking,best_pick,signed_allocation",eb6cff7b360840c4ecbcca79d25ed78bfd886d381f9e46cd6f246996f335bccd,29724959cb0123e5e653b416823be41e04aa603880ccd62bfbbc19743286f152,,,True,1245,275,False,4096
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,4,4,"A,B,C,D","A,B,C,D","D,C,A,B",exact_voting_display_order,exact_ballot,"signed_allocation,best_pick,borda_ranking",a4add4cb15448a7a93bdfe8a77f0c95a1b7dbadd526e92180750bd0a71b85ede,08e3adaccf976d5b89b83b73ae0ec6fc02ab3f551143b2d054a607066cf707f8,,,True,1245,261,False,4096
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,4,4,"A,B,C,D","A,B,C,D","C,B,D,A",exact_voting_display_order,exact_ballot,"best_pick,signed_allocation,borda_ranking",3f732d64d733de6e2c0847cd2bf8c53b339cc3adb346614819643d7101be2d98,fe4f34f0be02080106c73ff7220297cf427e07d70cc9579e15faf134188f6945,,,True,1177,233,False,4096
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,4,4,"A,B,C,D","A,B,C,D","D,B,A,C",exact_voting_display_order,exact_ballot,"best_pick,borda_ranking,signed_allocation",9a787ed60f5990a46b246a645fb46f2e2b128cec329d418df0054d68b972b6ad,21716118e2885cd8b3fd77bed5b9ccd6e765fe1534161160748873540ad5c94e,,,True,1177,225,False,4096
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,4,4,"A,B,C,D","A,B,C,D","D,B,A,C",exact_voting_display_order,exact_ballot,"signed_allocation,best_pick,borda_ranking",1dffee618d41e1a8113639034a2c160baf3c58e33b0ed3c598acccde5394db6a,c60c6f567b3ad1bc54fd98a29b1cc361e360de4a2fab33cd826b94b552813158,,,True,1177,205,False,4096
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,4,4,"A,B,C,D","A,B,C,D","B,A,C,D",exact_voting_display_order,exact_ballot,"borda_ranking,best_pick,signed_allocation",1dda06113eb9c6c94a5d8ff2b745354a2653785eac61929c8eac8ca1ca6c60a3,7f00324abcb1cd42045c3a8409e6973463f5a78132aec81fac852711e1e8ff7f,,,True,1177,221,False,4096
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,4,4,"A,B,C,D","A,B,C,D","C,B,D,A",exact_voting_display_order,exact_ballot,"borda_ranking,signed_allocation,best_pick",10f566a28d4516950a64ddc46a9a34c704afa87625f64f7f30183467c5b174da,f8e7f4c078edb6822ce6b4567a6e23a6eecc8f165caa3296f0cdeade1befb100,,,True,1630,388,False,4096
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,4,4,"A,B,C,D","A,B,C,D","D,A,C,B",exact_voting_display_order,exact_ballot,"borda_ranking,signed_allocation,best_pick",1c31c1b1494c16e547a3c4e90f0bf684ee2d34a7c83547c9b270c35663404440,d591ec0289be6159ba1adf81777498ceabb6f2b680ccd6bf0a07c80199dbf9a9,,,True,1630,308,False,4096
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,4,4,"A,B,C,D","A,B,C,D","B,D,C,A",exact_voting_display_order,exact_ballot,"signed_allocation,borda_ranking,best_pick",8fb94835dbdbc86838b63a7c74d022781968458fac6210cc5ed46aa53a46fade,0a57d7d1b3597f39e8e298dc0466fd0c7382d82a5ba57d9e1898e39cf3129ef6,,,True,1630,339,False,4096
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,4,4,"A,B,C,D","A,B,C,D","D,A,C,B",exact_voting_display_order,exact_ballot,"signed_allocation,borda_ranking,best_pick",83ece7ec79421d087ad4d1776076f868e75a462f1f2ec125085e665e17e54fa9,b57d3fd53c5677dd16dd7d55e6b4c7993f7c448a3e1a214c6d241c7ac654d81f,,,True,1630,362,False,4096
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,4,4,"A,B,C,D","A,B,C,D","A,D,C,B",exact_voting_display_order,exact_ballot,"borda_ranking,best_pick,signed_allocation",d27e609327799f18449c7317af30bad392e18bf9ecfa5b8baeed691e759ce360,a0c298731a403119fd73aba997867ddadc20a9b8d1a84e10381c9f403b7695c3,,,True,1434,531,False,4096
p004,Qwen/Qwen2.5-7B-Instruct::normal_02,4,4,"A,B,C,D","A,B,C,D","A,C,D,B",exact_voting_display_order,exact_ballot,"borda_ranking,best_pick,signed_allocation",41d4418caebaeeb90b3f6bd02cef2abb37890686704667a84aeed3fdca680898,e4c6b0e1adcfd8afe37c0acbc37b3f88f16e2c84f90acf958177abef016b6f2c,,,True,1434,467,False,4096
p004,Qwen/Qwen2.5-7B-Instruct::normal_03,4,4,"A,B,C,D","A,B,C,D","A,B,D,C",exact_voting_display_order,exact_ballot,"best_pick,borda_ranking,signed_allocation",09fccbe97640d3daa3e2e461acac23bdd9dedbd877ba4c1e6a35d8ce16f4ef63,bd18e3cd362de36d895c1a47e3ddc3427c311870514a7bce999666d6894168e8,,,True,1434,300,False,4096
