allocation,allocation_first_pass_valid,allocation_retry_count,ballot_field_order,best_pick_vote,borda_points,candidate_display_order,candidate_id,display_id,domain,evaluator,evaluator_id,evaluator_model,placeholder_reason,prompt_id,raw_output,reason,vote_repair_count,vote_repairs_json
0.45,True,0,"best_pick,signed_allocation,borda_ranking",1.0,3.0,"B,C,A,D",A,A,writing,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,False,p011,"{""votes"":{""best_pick"":""A"",""signed_allocation_reason"":""Candidate A is the strongest due to its clear and concise structure, while Candidate C provides a more detailed and risk-aware approach, but lacks the clarity of Candidate A. Candidates B and D are less effective due to their incomplete and vague descriptions, respectively."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":45},{""candidate_id"":""B"",""cents"":15},{""candidate_id"":""C"",""cents"":-25},{""candidate_id"":""D"",""cents"":-15}],""absolute_cents_total"":100,""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]]}}","Candidate A is the strongest due to its clear and concise structure, while Candidate C provides a more detailed and risk-aware approach, but lacks the clarity of Candidate A. Candidates B and D are less effective due to their incomplete and vague descriptions, respectively.",0,[]
0.15,True,0,"best_pick,signed_allocation,borda_ranking",0.0,2.0,"B,C,A,D",B,B,writing,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,False,p011,"{""votes"":{""best_pick"":""A"",""signed_allocation_reason"":""Candidate A is the strongest due to its clear and concise structure, while Candidate C provides a more detailed and risk-aware approach, but lacks the clarity of Candidate A. Candidates B and D are less effective due to their incomplete and vague descriptions, respectively."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":45},{""candidate_id"":""B"",""cents"":15},{""candidate_id"":""C"",""cents"":-25},{""candidate_id"":""D"",""cents"":-15}],""absolute_cents_total"":100,""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]]}}","Candidate A is the strongest due to its clear and concise structure, while Candidate C provides a more detailed and risk-aware approach, but lacks the clarity of Candidate A. Candidates B and D are less effective due to their incomplete and vague descriptions, respectively.",0,[]
-0.25,True,0,"best_pick,signed_allocation,borda_ranking",0.0,1.0,"B,C,A,D",C,C,writing,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,False,p011,"{""votes"":{""best_pick"":""A"",""signed_allocation_reason"":""Candidate A is the strongest due to its clear and concise structure, while Candidate C provides a more detailed and risk-aware approach, but lacks the clarity of Candidate A. Candidates B and D are less effective due to their incomplete and vague descriptions, respectively."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":45},{""candidate_id"":""B"",""cents"":15},{""candidate_id"":""C"",""cents"":-25},{""candidate_id"":""D"",""cents"":-15}],""absolute_cents_total"":100,""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]]}}","Candidate A is the strongest due to its clear and concise structure, while Candidate C provides a more detailed and risk-aware approach, but lacks the clarity of Candidate A. Candidates B and D are less effective due to their incomplete and vague descriptions, respectively.",0,[]
-0.15,True,0,"best_pick,signed_allocation,borda_ranking",0.0,0.0,"B,C,A,D",D,D,writing,normal_01,meta-llama/Llama-3.1-8B-Instruct::normal_01,meta-llama/Llama-3.1-8B-Instruct,False,p011,"{""votes"":{""best_pick"":""A"",""signed_allocation_reason"":""Candidate A is the strongest due to its clear and concise structure, while Candidate C provides a more detailed and risk-aware approach, but lacks the clarity of Candidate A. Candidates B and D are less effective due to their incomplete and vague descriptions, respectively."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":45},{""candidate_id"":""B"",""cents"":15},{""candidate_id"":""C"",""cents"":-25},{""candidate_id"":""D"",""cents"":-15}],""absolute_cents_total"":100,""borda_ranking"":[[""A""],[""B""],[""C""],[""D""]]}}","Candidate A is the strongest due to its clear and concise structure, while Candidate C provides a more detailed and risk-aware approach, but lacks the clarity of Candidate A. Candidates B and D are less effective due to their incomplete and vague descriptions, respectively.",0,[]
0.45,True,0,"best_pick,signed_allocation,borda_ranking",0.0,2.0,"A,C,B,D",A,A,ethics_policy,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,False,p043,"{""votes"":{""best_pick"":""C"",""signed_allocation_reason"":""Candidate C provides a balanced risk assessment covering benefits, privacy, bias, accuracy, and oversight, while also acknowledging the complexity of the issue, making it the strongest candidate. Candidates A and B are close seconds, but lack the nuance of C. Candidate D is the riskiest due to its simplistic approach and lack of consideration for potential biases and inaccuracies."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":45},{""candidate_id"":""B"",""cents"":15},{""candidate_id"":""C"",""cents"":40},{""candidate_id"":""D"",""cents"":-0}],""absolute_cents_total"":100,""borda_ranking"":[[""C""],[""A""],[""B""],[""D""]]}}","Candidate C provides a balanced risk assessment covering benefits, privacy, bias, accuracy, and oversight, while also acknowledging the complexity of the issue, making it the strongest candidate. Candidates A and B are close seconds, but lack the nuance of C. Candidate D is the riskiest due to its simplistic approach and lack of consideration for potential biases and inaccuracies.",0,[]
0.15,True,0,"best_pick,signed_allocation,borda_ranking",0.0,1.0,"A,C,B,D",B,B,ethics_policy,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,False,p043,"{""votes"":{""best_pick"":""C"",""signed_allocation_reason"":""Candidate C provides a balanced risk assessment covering benefits, privacy, bias, accuracy, and oversight, while also acknowledging the complexity of the issue, making it the strongest candidate. Candidates A and B are close seconds, but lack the nuance of C. Candidate D is the riskiest due to its simplistic approach and lack of consideration for potential biases and inaccuracies."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":45},{""candidate_id"":""B"",""cents"":15},{""candidate_id"":""C"",""cents"":40},{""candidate_id"":""D"",""cents"":-0}],""absolute_cents_total"":100,""borda_ranking"":[[""C""],[""A""],[""B""],[""D""]]}}","Candidate C provides a balanced risk assessment covering benefits, privacy, bias, accuracy, and oversight, while also acknowledging the complexity of the issue, making it the strongest candidate. Candidates A and B are close seconds, but lack the nuance of C. Candidate D is the riskiest due to its simplistic approach and lack of consideration for potential biases and inaccuracies.",0,[]
0.4,True,0,"best_pick,signed_allocation,borda_ranking",1.0,3.0,"A,C,B,D",C,C,ethics_policy,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,False,p043,"{""votes"":{""best_pick"":""C"",""signed_allocation_reason"":""Candidate C provides a balanced risk assessment covering benefits, privacy, bias, accuracy, and oversight, while also acknowledging the complexity of the issue, making it the strongest candidate. Candidates A and B are close seconds, but lack the nuance of C. Candidate D is the riskiest due to its simplistic approach and lack of consideration for potential biases and inaccuracies."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":45},{""candidate_id"":""B"",""cents"":15},{""candidate_id"":""C"",""cents"":40},{""candidate_id"":""D"",""cents"":-0}],""absolute_cents_total"":100,""borda_ranking"":[[""C""],[""A""],[""B""],[""D""]]}}","Candidate C provides a balanced risk assessment covering benefits, privacy, bias, accuracy, and oversight, while also acknowledging the complexity of the issue, making it the strongest candidate. Candidates A and B are close seconds, but lack the nuance of C. Candidate D is the riskiest due to its simplistic approach and lack of consideration for potential biases and inaccuracies.",0,[]
0.0,True,0,"best_pick,signed_allocation,borda_ranking",0.0,0.0,"A,C,B,D",D,D,ethics_policy,normal_04,meta-llama/Llama-3.1-8B-Instruct::normal_04,meta-llama/Llama-3.1-8B-Instruct,False,p043,"{""votes"":{""best_pick"":""C"",""signed_allocation_reason"":""Candidate C provides a balanced risk assessment covering benefits, privacy, bias, accuracy, and oversight, while also acknowledging the complexity of the issue, making it the strongest candidate. Candidates A and B are close seconds, but lack the nuance of C. Candidate D is the riskiest due to its simplistic approach and lack of consideration for potential biases and inaccuracies."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":45},{""candidate_id"":""B"",""cents"":15},{""candidate_id"":""C"",""cents"":40},{""candidate_id"":""D"",""cents"":-0}],""absolute_cents_total"":100,""borda_ranking"":[[""C""],[""A""],[""B""],[""D""]]}}","Candidate C provides a balanced risk assessment covering benefits, privacy, bias, accuracy, and oversight, while also acknowledging the complexity of the issue, making it the strongest candidate. Candidates A and B are close seconds, but lack the nuance of C. Candidate D is the riskiest due to its simplistic approach and lack of consideration for potential biases and inaccuracies.",0,[]
0.5,False,1,"signed_allocation,borda_ranking,best_pick",1.0,3.0,"A,B,D,C",A,A,factual_qa,normal_03,meta-llama/Llama-3.1-8B-Instruct::normal_03,meta-llama/Llama-3.1-8B-Instruct,False,p004,"{""votes"": {
  ""signed_allocation_reason"": ""Candidate A is the strongest due to its concise and accurate description of the 2008 global financial crisis, while candidates C and D are farthest or riskiest due to their overly simplistic or incomplete explanations."",
  ""signed_allocation_cents"": [
    {""candidate_id"": ""A"", ""cents"": 50},
    {""candidate_id"": ""B"", ""cents"": 25},
    {""candidate_id"": ""C"", ""cents"": -25},
    {""candidate_id"": ""D"", ""cents"": 0}
  ],
  ""absolute_cents_total"": 100,
  ""borda_ranking"": [[""A""],[""B""],[""C""],[""D""]],
  ""best_pick"": ""A""
}}","Candidate A is the strongest due to its concise and accurate description of the 2008 global financial crisis, while candidates C and D are farthest or riskiest due to their overly simplistic or incomplete explanations.",0,[]
0.25,False,1,"signed_allocation,borda_ranking,best_pick",0.0,2.0,"A,B,D,C",B,B,factual_qa,normal_03,meta-llama/Llama-3.1-8B-Instruct::normal_03,meta-llama/Llama-3.1-8B-Instruct,False,p004,"{""votes"": {
  ""signed_allocation_reason"": ""Candidate A is the strongest due to its concise and accurate description of the 2008 global financial crisis, while candidates C and D are farthest or riskiest due to their overly simplistic or incomplete explanations."",
  ""signed_allocation_cents"": [
    {""candidate_id"": ""A"", ""cents"": 50},
    {""candidate_id"": ""B"", ""cents"": 25},
    {""candidate_id"": ""C"", ""cents"": -25},
    {""candidate_id"": ""D"", ""cents"": 0}
  ],
  ""absolute_cents_total"": 100,
  ""borda_ranking"": [[""A""],[""B""],[""C""],[""D""]],
  ""best_pick"": ""A""
}}","Candidate A is the strongest due to its concise and accurate description of the 2008 global financial crisis, while candidates C and D are farthest or riskiest due to their overly simplistic or incomplete explanations.",0,[]
